Disease type,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Asthma,Illawarra Shoalhaven LHD,2006-2008,1.8,1.1,2.7
Asthma,Illawarra Shoalhaven LHD,2007-2009,1.4,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2008-2010,1.3,0.8,2.1
Asthma,Illawarra Shoalhaven LHD,2009-2011,1.3,0.8,2.1
Asthma,Illawarra Shoalhaven LHD,2010-2012,1.5,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2011-2013,1.4,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2012-2014,1.5,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2013-2015,1.3,0.8,2.1
Asthma,Illawarra Shoalhaven LHD,2014-2016,1.3,0.8,2
Asthma,Illawarra Shoalhaven LHD,2015-2017,1.5,1,2.2
Asthma,Illawarra Shoalhaven LHD,2016-2018,1.5,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2017-2019,1.4,0.9,2.2
Asthma,Illawarra Shoalhaven LHD,2018-2020,1.1,0.7,1.8
Asthma,Illawarra Shoalhaven LHD,2019-2021,1.1,0.6,1.7
Asthma,Western Sydney LHD,2001-2003,1.3,0.8,1.9
Asthma,Western Sydney LHD,2002-2004,1.4,0.9,2.1
Asthma,Western Sydney LHD,2003-2005,1.6,1.1,2.3
Asthma,Western Sydney LHD,2004-2006,2.2,1.5,2.9
Asthma,Western Sydney LHD,2005-2007,2.3,1.6,3
Asthma,Western Sydney LHD,2006-2008,2.3,1.7,3.1
Asthma,Western Sydney LHD,2007-2009,2,1.4,2.7
Asthma,Western Sydney LHD,2008-2010,1.8,1.3,2.5
Asthma,Western Sydney LHD,2009-2011,1.5,1,2.1
Asthma,Western Sydney LHD,2010-2012,1.7,1.2,2.3
Asthma,Western Sydney LHD,2011-2013,1.6,1.1,2.2
Asthma,Western Sydney LHD,2012-2014,1.7,1.2,2.3
Asthma,Western Sydney LHD,2013-2015,1.6,1.2,2.2
Asthma,Western Sydney LHD,2014-2016,2,1.5,2.7
Asthma,Western Sydney LHD,2015-2017,2,1.4,2.6
Asthma,Western Sydney LHD,2016-2018,2.1,1.5,2.7
Asthma,Western Sydney LHD,2017-2019,1.5,1.1,2.1
Asthma,Western Sydney LHD,2018-2020,1.4,1,2
Asthma,Western Sydney LHD,2019-2021,1.3,0.9,1.7
Asthma,Nepean Blue Mountains LHD,2001-2003,2,1.2,3.3
Asthma,Nepean Blue Mountains LHD,2002-2004,2.2,1.3,3.4
Asthma,Nepean Blue Mountains LHD,2003-2005,2.8,1.8,4.2
Asthma,Nepean Blue Mountains LHD,2004-2006,2.6,1.6,3.9
Asthma,Nepean Blue Mountains LHD,2005-2007,2.2,1.3,3.4
Asthma,Nepean Blue Mountains LHD,2006-2008,1.5,0.8,2.5
Asthma,Nepean Blue Mountains LHD,2007-2009,1.7,1,2.8
Asthma,Nepean Blue Mountains LHD,2008-2010,1.9,1.1,2.9
Asthma,Nepean Blue Mountains LHD,2009-2011,2.3,1.5,3.5
Asthma,Nepean Blue Mountains LHD,2010-2012,1.9,1.1,2.9
Asthma,Nepean Blue Mountains LHD,2011-2013,2,1.2,3.1
Asthma,Nepean Blue Mountains LHD,2012-2014,1.7,1,2.8
Asthma,Nepean Blue Mountains LHD,2013-2015,2.1,1.3,3.2
Asthma,Nepean Blue Mountains LHD,2014-2016,1.9,1.2,2.9
Asthma,Nepean Blue Mountains LHD,2015-2017,2.1,1.3,3.1
Asthma,Nepean Blue Mountains LHD,2016-2018,2.5,1.6,3.6
Asthma,Nepean Blue Mountains LHD,2017-2019,2.3,1.5,3.4
Asthma,Nepean Blue Mountains LHD,2018-2020,2,1.3,3
Asthma,Nepean Blue Mountains LHD,2019-2021,1.1,0.6,1.9
Asthma,Northern Sydney LHD,2001-2003,1.4,1,1.9
Asthma,Northern Sydney LHD,2002-2004,1,0.7,1.4
Asthma,Northern Sydney LHD,2003-2005,1,0.7,1.4
Asthma,Northern Sydney LHD,2004-2006,0.9,0.6,1.4
Asthma,Northern Sydney LHD,2005-2007,1,0.7,1.4
Asthma,Northern Sydney LHD,2006-2008,1.2,0.8,1.6
Asthma,Northern Sydney LHD,2007-2009,1.3,0.9,1.8
Asthma,Northern Sydney LHD,2008-2010,1.4,1,1.9
Asthma,Northern Sydney LHD,2009-2011,1.2,0.9,1.7
Asthma,Northern Sydney LHD,2010-2012,1,0.7,1.3
Asthma,Northern Sydney LHD,2011-2013,0.8,0.5,1.1
Asthma,Northern Sydney LHD,2012-2014,0.6,0.4,1
Asthma,Northern Sydney LHD,2013-2015,1,0.7,1.4
Asthma,Northern Sydney LHD,2014-2016,1.2,0.9,1.6
Asthma,Northern Sydney LHD,2015-2017,1.4,1.1,1.9
Asthma,Northern Sydney LHD,2016-2018,1.1,0.8,1.5
Asthma,Northern Sydney LHD,2017-2019,0.7,0.5,1.1
Asthma,Northern Sydney LHD,2018-2020,0.5,0.3,0.8
Asthma,Northern Sydney LHD,2019-2021,0.7,0.5,1.1
Asthma,Central Coast LHD,2001-2003,2,1.2,3.1
Asthma,Central Coast LHD,2002-2004,2,1.3,3.1
Asthma,Central Coast LHD,2003-2005,1.9,1.2,3
Asthma,Central Coast LHD,2004-2006,2.2,1.5,3.3
Asthma,Central Coast LHD,2005-2007,1.9,1.2,2.8
Asthma,Central Coast LHD,2006-2008,1.9,1.2,2.9
Asthma,Central Coast LHD,2007-2009,1.6,1,2.6
Asthma,Central Coast LHD,2008-2010,1.9,1.2,2.9
Asthma,Central Coast LHD,2009-2011,1.8,1.2,2.8
Asthma,Central Coast LHD,2010-2012,1.6,1,2.5
Asthma,Central Coast LHD,2011-2013,1.2,0.7,2.1
Asthma,Central Coast LHD,2012-2014,1.2,0.7,2
Asthma,Central Coast LHD,2013-2015,1.2,0.6,2
Asthma,Central Coast LHD,2014-2016,1.5,0.9,2.3
Asthma,Central Coast LHD,2015-2017,1.4,0.8,2.2
Asthma,Central Coast LHD,2016-2018,1.4,0.9,2.2
Asthma,Central Coast LHD,2017-2019,1.3,0.8,2
Asthma,Central Coast LHD,2018-2020,1.4,0.9,2.1
Asthma,Central Coast LHD,2019-2021,1.2,0.8,1.9
Asthma,Hunter New England LHD,2001-2003,2.3,1.8,3
Asthma,Hunter New England LHD,2002-2004,1.9,1.4,2.5
Asthma,Hunter New England LHD,2003-2005,1.6,1.2,2.2
Asthma,Hunter New England LHD,2004-2006,1.4,1,1.9
Asthma,Hunter New England LHD,2005-2007,1.7,1.3,2.3
Asthma,Hunter New England LHD,2006-2008,1.7,1.2,2.2
Asthma,Hunter New England LHD,2007-2009,1.9,1.4,2.5
Asthma,Hunter New England LHD,2008-2010,1.8,1.3,2.3
Asthma,Hunter New England LHD,2009-2011,1.7,1.3,2.2
Asthma,Hunter New England LHD,2010-2012,1.4,1.1,1.9
Asthma,Hunter New England LHD,2011-2013,1.1,0.8,1.5
Asthma,Hunter New England LHD,2012-2014,1.2,0.8,1.6
Asthma,Hunter New England LHD,2013-2015,1.4,1.1,1.9
Asthma,Hunter New England LHD,2014-2016,1.9,1.5,2.4
Asthma,Hunter New England LHD,2015-2017,2.2,1.7,2.7
Asthma,Hunter New England LHD,2016-2018,2,1.6,2.6
Asthma,Hunter New England LHD,2017-2019,1.9,1.5,2.4
Asthma,Hunter New England LHD,2018-2020,1.6,1.2,2.1
Asthma,Hunter New England LHD,2019-2021,1.6,1.2,2.1
Asthma,Northern NSW LHD,2001-2003,0.9,0.4,1.7
Asthma,Northern NSW LHD,2002-2004,1.3,0.7,2.2
Asthma,Northern NSW LHD,2003-2005,1.4,0.7,2.4
Asthma,Northern NSW LHD,2004-2006,1.6,0.9,2.6
Asthma,Northern NSW LHD,2005-2007,1.9,1.1,3
Asthma,Northern NSW LHD,2006-2008,1.5,0.9,2.5
Asthma,Northern NSW LHD,2007-2009,1.6,0.9,2.6
Asthma,Northern NSW LHD,2008-2010,1.1,0.6,1.9
Asthma,Northern NSW LHD,2009-2011,1.3,0.7,2.2
Asthma,Northern NSW LHD,2010-2012,1.7,1.1,2.7
Asthma,Northern NSW LHD,2011-2013,1.9,1.2,2.8
Asthma,Northern NSW LHD,2012-2014,1.9,1.2,2.9
Asthma,Northern NSW LHD,2013-2015,1.8,1.1,2.7
Asthma,Northern NSW LHD,2014-2016,1.5,0.9,2.3
Asthma,Northern NSW LHD,2015-2017,1.8,1.1,2.7
Asthma,Northern NSW LHD,2016-2018,2,1.3,3
Asthma,Northern NSW LHD,2017-2019,2.7,1.9,3.9
Asthma,Northern NSW LHD,2018-2020,2.7,1.9,3.8
Asthma,Northern NSW LHD,2019-2021,2,1.3,3
Asthma,Mid North Coast LHD,2001-2003,1.4,0.6,2.7
Asthma,Mid North Coast LHD,2002-2004,1,0.4,2
Asthma,Mid North Coast LHD,2003-2005,1.7,0.9,3
Asthma,Mid North Coast LHD,2004-2006,2.1,1.2,3.5
Asthma,Mid North Coast LHD,2005-2007,2.2,1.3,3.7
Asthma,Mid North Coast LHD,2006-2008,1.9,1,3.1
Asthma,Mid North Coast LHD,2007-2009,1.4,0.7,2.5
Asthma,Mid North Coast LHD,2008-2010,1.7,1,2.8
Asthma,Mid North Coast LHD,2009-2011,1.3,0.7,2.4
Asthma,Mid North Coast LHD,2010-2012,2.1,1.2,3.4
Asthma,Mid North Coast LHD,2011-2013,1.9,1,3.3
Asthma,Mid North Coast LHD,2012-2014,2.3,1.3,3.8
Asthma,Mid North Coast LHD,2013-2015,1.6,0.8,2.8
Asthma,Mid North Coast LHD,2014-2016,1.4,0.7,2.5
Asthma,Mid North Coast LHD,2015-2017,0.8,0.3,1.8
Asthma,Mid North Coast LHD,2016-2018,0.9,0.4,1.8
Asthma,Mid North Coast LHD,2017-2019,1.2,0.6,2.3
Asthma,Mid North Coast LHD,2018-2020,1.7,1,2.9
Asthma,Mid North Coast LHD,2019-2021,1.7,1,2.9
Asthma,Southern NSW LHD,2001-2003,1.9,0.9,3.4
Asthma,Southern NSW LHD,2002-2004,1.6,0.7,3.1
Asthma,Southern NSW LHD,2003-2005,1.1,0.4,2.5
Asthma,Southern NSW LHD,2004-2006,1.6,0.7,3
Asthma,Southern NSW LHD,2005-2007,1.5,0.7,2.8
Asthma,Southern NSW LHD,2006-2008,1.8,0.9,3.2
Asthma,Southern NSW LHD,2007-2009,1.9,1,3.3
Asthma,Southern NSW LHD,2008-2010,2.1,1.2,3.5
Asthma,Southern NSW LHD,2009-2011,1.6,0.8,2.8
Asthma,Southern NSW LHD,2010-2012,1.8,1,3.1
Asthma,Southern NSW LHD,2011-2013,1.5,0.8,2.7
Asthma,Southern NSW LHD,2012-2014,2.3,1.4,3.6
Asthma,Southern NSW LHD,2013-2015,1.8,1,3
Asthma,Southern NSW LHD,2014-2016,1.8,1,3
Asthma,Southern NSW LHD,2015-2017,1.7,0.9,2.9
Asthma,Southern NSW LHD,2016-2018,1.5,0.8,2.7
Asthma,Southern NSW LHD,2017-2019,1.3,0.7,2.3
Asthma,Southern NSW LHD,2018-2020,1.2,0.6,2.2
Asthma,Southern NSW LHD,2019-2021,1,0.5,1.9
Asthma,Murrumbidgee LHD,2001-2003,3.2,2.1,4.8
Asthma,Murrumbidgee LHD,2002-2004,3.2,2.1,4.7
Asthma,Murrumbidgee LHD,2003-2005,3.1,2,4.7
Asthma,Murrumbidgee LHD,2004-2006,2.7,1.7,4.1
Asthma,Murrumbidgee LHD,2005-2007,2.4,1.4,3.7
Asthma,Murrumbidgee LHD,2006-2008,2,1.2,3.2
Asthma,Murrumbidgee LHD,2007-2009,1.6,0.8,2.7
Asthma,Murrumbidgee LHD,2008-2010,1.9,1.1,3.1
Asthma,Murrumbidgee LHD,2009-2011,1.7,0.9,2.9
Asthma,Murrumbidgee LHD,2010-2012,1.8,1,3
Asthma,Murrumbidgee LHD,2011-2013,1.8,1,2.9
Asthma,Murrumbidgee LHD,2012-2014,1.8,1,2.9
Asthma,Murrumbidgee LHD,2013-2015,1.9,1.1,2.9
Asthma,Murrumbidgee LHD,2014-2016,2,1.2,3.2
Asthma,Murrumbidgee LHD,2015-2017,2.2,1.4,3.5
Asthma,Murrumbidgee LHD,2016-2018,2.6,1.6,3.9
Asthma,Murrumbidgee LHD,2017-2019,2.7,1.8,4
Asthma,Murrumbidgee LHD,2018-2020,3,2,4.4
Asthma,Murrumbidgee LHD,2019-2021,2.7,1.8,4
Asthma,Western NSW LHD,2001-2003,2.8,1.7,4.2
Asthma,Western NSW LHD,2002-2004,1.9,1.1,3.1
Asthma,Western NSW LHD,2003-2005,1.4,0.7,2.5
Asthma,Western NSW LHD,2004-2006,1.7,0.9,2.9
Asthma,Western NSW LHD,2005-2007,2.1,1.2,3.3
Asthma,Western NSW LHD,2006-2008,2.2,1.3,3.4
Asthma,Western NSW LHD,2007-2009,1.9,1.1,3
Asthma,Western NSW LHD,2008-2010,2.4,1.5,3.6
Asthma,Western NSW LHD,2009-2011,2.5,1.6,3.8
Asthma,Western NSW LHD,2010-2012,2.3,1.4,3.6
Asthma,Western NSW LHD,2011-2013,2,1.2,3.2
Asthma,Western NSW LHD,2012-2014,2.3,1.4,3.5
Asthma,Western NSW LHD,2013-2015,2.8,1.8,4.1
Asthma,Western NSW LHD,2014-2016,2.8,1.8,4.1
Asthma,Western NSW LHD,2015-2017,2.2,1.4,3.4
Asthma,Western NSW LHD,2016-2018,2.6,1.7,3.9
Asthma,Western NSW LHD,2017-2019,2.4,1.6,3.6
Asthma,Western NSW LHD,2018-2020,2.8,1.9,4
Asthma,Western NSW LHD,2019-2021,2.5,1.6,3.7
Asthma,Far West LHD,2001-2003,0.9,0,5.1
Asthma,Far West LHD,2002-2004,1.8,0.2,6.6
Asthma,Far West LHD,2003-2005,2.5,0.5,7.8
Asthma,Far West LHD,2004-2006,1.6,0.2,6.5
Asthma,Far West LHD,2005-2007,1.6,0.2,6.4
Asthma,Far West LHD,2006-2008,1.5,0.2,6.2
Asthma,Far West LHD,2007-2009,2.9,0.8,8.1
Asthma,Far West LHD,2008-2010,2.9,0.8,8.1
Asthma,Far West LHD,2009-2011,2.8,0.8,7.9
Asthma,Far West LHD,2010-2012,2.5,0.5,8
Asthma,Far West LHD,2011-2013,1.9,0.2,7.2
Asthma,Far West LHD,2012-2014,1.2,0,6.5
Asthma,Far West LHD,2013-2015,0,0,0
Asthma,Far West LHD,2014-2016,0,0,0
Asthma,Far West LHD,2015-2017,0,0,0
Asthma,Far West LHD,2016-2018,1.5,0.2,6.3
Asthma,Far West LHD,2017-2019,1.5,0.2,6.3
Asthma,Far West LHD,2018-2020,3.7,0.9,10.3
Asthma,Far West LHD,2019-2021,3.1,0.6,9.5
Asthma,All LHDs,2001-2003,1.9,1.7,2.1
Asthma,All LHDs,2002-2004,1.7,1.6,1.9
Asthma,All LHDs,2003-2005,1.5,1.4,1.7
Asthma,All LHDs,2004-2006,1.7,1.5,1.9
Asthma,All LHDs,2005-2007,1.7,1.6,1.9
Asthma,All LHDs,2006-2008,1.8,1.6,2
Asthma,All LHDs,2007-2009,1.7,1.6,1.9
Asthma,All LHDs,2008-2010,1.7,1.6,1.9
Asthma,All LHDs,2009-2011,1.6,1.4,1.7
Asthma,All LHDs,2010-2012,1.5,1.4,1.7
Asthma,All LHDs,2011-2013,1.4,1.2,1.5
Asthma,All LHDs,2012-2014,1.5,1.3,1.6
Asthma,All LHDs,2013-2015,1.5,1.3,1.6
Asthma,All LHDs,2014-2016,1.5,1.4,1.7
Asthma,All LHDs,2015-2017,1.6,1.5,1.8
Asthma,All LHDs,2016-2018,1.6,1.5,1.8
Asthma,All LHDs,2017-2019,1.6,1.4,1.7
Asthma,All LHDs,2018-2020,1.5,1.3,1.6
Asthma,All LHDs,2019-2021,1.3,1.2,1.5
Chronic obstructive pulmonary disease,Sydney LHD,2001-2003,26.2,23.6,29
Chronic obstructive pulmonary disease,Sydney LHD,2002-2004,25.7,23.1,28.5
Chronic obstructive pulmonary disease,Sydney LHD,2003-2005,24.1,21.6,26.8
Chronic obstructive pulmonary disease,Sydney LHD,2004-2006,22.3,20,24.9
Chronic obstructive pulmonary disease,Sydney LHD,2005-2007,20,17.8,22.4
Chronic obstructive pulmonary disease,Sydney LHD,2006-2008,18.7,16.6,21
Chronic obstructive pulmonary disease,Sydney LHD,2007-2009,17.6,15.6,19.8
Chronic obstructive pulmonary disease,Sydney LHD,2008-2010,16.3,14.4,18.4
Chronic obstructive pulmonary disease,Sydney LHD,2009-2011,16.8,14.9,18.9
Chronic obstructive pulmonary disease,Sydney LHD,2010-2012,17.9,16,20.1
Chronic obstructive pulmonary disease,Sydney LHD,2011-2013,18.9,16.9,21.1
Chronic obstructive pulmonary disease,Sydney LHD,2012-2014,19.7,17.7,21.8
Chronic obstructive pulmonary disease,Sydney LHD,2013-2015,18.9,17,21
Chronic obstructive pulmonary disease,Sydney LHD,2014-2016,18.1,16.2,20.1
Chronic obstructive pulmonary disease,Sydney LHD,2015-2017,17.4,15.6,19.4
Chronic obstructive pulmonary disease,Sydney LHD,2016-2018,17.1,15.3,19
Chronic obstructive pulmonary disease,Sydney LHD,2017-2019,17.1,15.4,19
Chronic obstructive pulmonary disease,Sydney LHD,2018-2020,15.4,13.7,17.2
Chronic obstructive pulmonary disease,Sydney LHD,2019-2021,15.4,13.8,17.2
Chronic obstructive pulmonary disease,South Western Sydney LHD,2001-2003,27.8,25.4,30.4
Chronic obstructive pulmonary disease,South Western Sydney LHD,2002-2004,26.2,23.9,28.7
Chronic obstructive pulmonary disease,South Western Sydney LHD,2003-2005,24,21.8,26.3
Chronic obstructive pulmonary disease,South Western Sydney LHD,2004-2006,24.9,22.7,27.2
Chronic obstructive pulmonary disease,South Western Sydney LHD,2005-2007,24.2,22.1,26.4
Chronic obstructive pulmonary disease,South Western Sydney LHD,2006-2008,24.2,22.1,26.4
Chronic obstructive pulmonary disease,South Western Sydney LHD,2007-2009,23.2,21.2,25.3
Chronic obstructive pulmonary disease,South Western Sydney LHD,2008-2010,22.2,20.3,24.2
Chronic obstructive pulmonary disease,South Western Sydney LHD,2009-2011,22.7,20.8,24.7
Chronic obstructive pulmonary disease,South Western Sydney LHD,2010-2012,22.6,20.8,24.6
Chronic obstructive pulmonary disease,South Western Sydney LHD,2011-2013,23.9,22,25.9
Chronic obstructive pulmonary disease,South Western Sydney LHD,2012-2014,23.8,22,25.8
Chronic obstructive pulmonary disease,South Western Sydney LHD,2013-2015,23.9,22,25.8
Chronic obstructive pulmonary disease,South Western Sydney LHD,2014-2016,24.4,22.6,26.4
Chronic obstructive pulmonary disease,South Western Sydney LHD,2015-2017,25.7,23.9,27.7
Chronic obstructive pulmonary disease,South Western Sydney LHD,2016-2018,24.7,23,26.6
Chronic obstructive pulmonary disease,South Western Sydney LHD,2017-2019,23,21.3,24.7
Chronic obstructive pulmonary disease,South Western Sydney LHD,2018-2020,20.2,18.7,21.8
Chronic obstructive pulmonary disease,South Western Sydney LHD,2019-2021,19.5,18.1,21.1
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2001-2003,18.9,17.3,20.7
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2002-2004,18.4,16.8,20.1
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2003-2005,16.6,15.1,18.2
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2004-2006,14.5,13.1,16
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2005-2007,15.2,13.8,16.7
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2006-2008,16.4,14.9,18
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2007-2009,16.9,15.4,18.5
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2008-2010,16.5,15.1,18.1
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2009-2011,15.4,14,16.9
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2010-2012,15.3,13.9,16.8
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2011-2013,15.9,14.5,17.3
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2012-2014,16.6,15.2,18.2
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2013-2015,16.8,15.4,18.3
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2014-2016,16,14.7,17.5
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2015-2017,16.9,15.5,18.3
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2016-2018,16.3,15,17.8
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2017-2019,15.8,14.5,17.2
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2018-2020,14.6,13.4,16
Chronic obstructive pulmonary disease,South Eastern Sydney LHD,2019-2021,13.8,12.6,15.1
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2001-2003,26.9,24.1,30
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2002-2004,27.4,24.6,30.4
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2003-2005,27.1,24.4,30.1
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2004-2006,25,22.4,27.8
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2005-2007,23.2,20.8,25.9
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2006-2008,22.2,19.8,24.8
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2007-2009,21.5,19.2,24
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2008-2010,21.3,19.1,23.7
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2009-2011,22.6,20.4,25.1
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2010-2012,24.2,21.8,26.7
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2011-2013,26.5,24.1,29.1
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2012-2014,27.7,25.2,30.3
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2013-2015,28.5,26,31.1
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2014-2016,29.7,27.2,32.3
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2015-2017,29.4,26.9,32
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2016-2018,28.5,26.1,31
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2017-2019,27.2,24.9,29.6
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2018-2020,26.3,24.1,28.7
Chronic obstructive pulmonary disease,Illawarra Shoalhaven LHD,2019-2021,26.8,24.6,29.2
Chronic obstructive pulmonary disease,Western Sydney LHD,2001-2003,27.6,25,30.3
Chronic obstructive pulmonary disease,Western Sydney LHD,2002-2004,28.6,26.1,31.3
Chronic obstructive pulmonary disease,Western Sydney LHD,2003-2005,26,23.6,28.5
Chronic obstructive pulmonary disease,Western Sydney LHD,2004-2006,23.8,21.5,26.2
Chronic obstructive pulmonary disease,Western Sydney LHD,2005-2007,21.6,19.5,23.9
Chronic obstructive pulmonary disease,Western Sydney LHD,2006-2008,21.3,19.2,23.5
Chronic obstructive pulmonary disease,Western Sydney LHD,2007-2009,21.8,19.7,24
Chronic obstructive pulmonary disease,Western Sydney LHD,2008-2010,20.1,18.2,22.2
Chronic obstructive pulmonary disease,Western Sydney LHD,2009-2011,20.5,18.5,22.5
Chronic obstructive pulmonary disease,Western Sydney LHD,2010-2012,19.7,17.8,21.7
Chronic obstructive pulmonary disease,Western Sydney LHD,2011-2013,20.7,18.8,22.7
Chronic obstructive pulmonary disease,Western Sydney LHD,2012-2014,21.3,19.4,23.3
Chronic obstructive pulmonary disease,Western Sydney LHD,2013-2015,22.3,20.4,24.4
Chronic obstructive pulmonary disease,Western Sydney LHD,2014-2016,23,21.1,25
Chronic obstructive pulmonary disease,Western Sydney LHD,2015-2017,23.1,21.2,25.1
Chronic obstructive pulmonary disease,Western Sydney LHD,2016-2018,20.9,19.1,22.7
Chronic obstructive pulmonary disease,Western Sydney LHD,2017-2019,20.3,18.6,22.1
Chronic obstructive pulmonary disease,Western Sydney LHD,2018-2020,17.6,16.1,19.3
Chronic obstructive pulmonary disease,Western Sydney LHD,2019-2021,18.3,16.8,20
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2001-2003,29,25.3,33.1
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2002-2004,29.8,26.1,33.9
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2003-2005,30.1,26.4,34.2
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2004-2006,27.3,23.7,31.2
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2005-2007,26.6,23.1,30.4
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2006-2008,25.3,22,29
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2007-2009,26,22.6,29.6
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2008-2010,24.7,21.5,28.2
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2009-2011,25.4,22.2,28.9
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2010-2012,25.7,22.5,29.1
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2011-2013,27.8,24.6,31.3
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2012-2014,28.3,25.1,31.8
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2013-2015,30.2,27,33.7
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2014-2016,31.1,27.9,34.6
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2015-2017,32.6,29.3,36.1
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2016-2018,29.8,26.8,33.2
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2017-2019,27.7,24.8,30.9
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2018-2020,23.6,21,26.5
Chronic obstructive pulmonary disease,Nepean Blue Mountains LHD,2019-2021,22.2,19.7,25
Chronic obstructive pulmonary disease,Northern Sydney LHD,2001-2003,19.5,17.9,21.2
Chronic obstructive pulmonary disease,Northern Sydney LHD,2002-2004,19.1,17.6,20.8
Chronic obstructive pulmonary disease,Northern Sydney LHD,2003-2005,16.3,14.9,17.8
Chronic obstructive pulmonary disease,Northern Sydney LHD,2004-2006,14.3,13,15.7
Chronic obstructive pulmonary disease,Northern Sydney LHD,2005-2007,13.1,11.9,14.5
Chronic obstructive pulmonary disease,Northern Sydney LHD,2006-2008,14.1,12.8,15.5
Chronic obstructive pulmonary disease,Northern Sydney LHD,2007-2009,14,12.7,15.3
Chronic obstructive pulmonary disease,Northern Sydney LHD,2008-2010,13.8,12.5,15.1
Chronic obstructive pulmonary disease,Northern Sydney LHD,2009-2011,13.2,11.9,14.5
Chronic obstructive pulmonary disease,Northern Sydney LHD,2010-2012,13.8,12.6,15.1
Chronic obstructive pulmonary disease,Northern Sydney LHD,2011-2013,13.4,12.2,14.7
Chronic obstructive pulmonary disease,Northern Sydney LHD,2012-2014,13.3,12.1,14.5
Chronic obstructive pulmonary disease,Northern Sydney LHD,2013-2015,12.7,11.6,14
Chronic obstructive pulmonary disease,Northern Sydney LHD,2014-2016,13.1,12,14.4
Chronic obstructive pulmonary disease,Northern Sydney LHD,2015-2017,12.8,11.7,14
Chronic obstructive pulmonary disease,Northern Sydney LHD,2016-2018,12.2,11.1,13.3
Chronic obstructive pulmonary disease,Northern Sydney LHD,2017-2019,11.1,10,12.2
Chronic obstructive pulmonary disease,Northern Sydney LHD,2018-2020,10.1,9.1,11.1
Chronic obstructive pulmonary disease,Northern Sydney LHD,2019-2021,9.7,8.8,10.7
