disease type,sex,lhd,financial year,"rate per 100,000 population"
Other acute respiratory infections,Females,Illawarra Shoalhaven,2017/2018,193.3
Other acute respiratory infections,Females,Illawarra Shoalhaven,2018/2019,215.9
Other acute respiratory infections,Females,Illawarra Shoalhaven,2019/2020,184.1
Other acute respiratory infections,Females,Illawarra Shoalhaven,2020/2021,141.1
Other acute respiratory infections,Females,Illawarra Shoalhaven,2021/2022,166.8
Other acute respiratory infections,Females,Western Sydney,2001/2002,177.1
Other acute respiratory infections,Females,Western Sydney,2002/2003,161.4
Other acute respiratory infections,Females,Western Sydney,2003/2004,163.6
Other acute respiratory infections,Females,Western Sydney,2004/2005,150.9
Other acute respiratory infections,Females,Western Sydney,2005/2006,161.5
Other acute respiratory infections,Females,Western Sydney,2006/2007,184
Other acute respiratory infections,Females,Western Sydney,2007/2008,209.2
Other acute respiratory infections,Females,Western Sydney,2008/2009,207.8
Other acute respiratory infections,Females,Western Sydney,2009/2010,166.8
Other acute respiratory infections,Females,Western Sydney,2010/2011,205.7
Other acute respiratory infections,Females,Western Sydney,2011/2012,231.8
Other acute respiratory infections,Females,Western Sydney,2012/2013,236.4
Other acute respiratory infections,Females,Western Sydney,2013/2014,276.3
Other acute respiratory infections,Females,Western Sydney,2014/2015,304.4
Other acute respiratory infections,Females,Western Sydney,2015/2016,276.4
Other acute respiratory infections,Females,Western Sydney,2016/2017,298.8
Other acute respiratory infections,Females,Western Sydney,2017/2018,275.2
Other acute respiratory infections,Females,Western Sydney,2018/2019,333
Other acute respiratory infections,Females,Western Sydney,2019/2020,261.8
Other acute respiratory infections,Females,Western Sydney,2020/2021,326.1
Other acute respiratory infections,Females,Western Sydney,2021/2022,222.7
Other acute respiratory infections,Females,Nepean Blue Mountains,2001/2002,275.5
Other acute respiratory infections,Females,Nepean Blue Mountains,2002/2003,255.4
Other acute respiratory infections,Females,Nepean Blue Mountains,2003/2004,276.8
Other acute respiratory infections,Females,Nepean Blue Mountains,2004/2005,301.4
Other acute respiratory infections,Females,Nepean Blue Mountains,2005/2006,291.5
Other acute respiratory infections,Females,Nepean Blue Mountains,2006/2007,342.7
Other acute respiratory infections,Females,Nepean Blue Mountains,2007/2008,368.2
Other acute respiratory infections,Females,Nepean Blue Mountains,2008/2009,362
Other acute respiratory infections,Females,Nepean Blue Mountains,2009/2010,323.8
Other acute respiratory infections,Females,Nepean Blue Mountains,2010/2011,342.4
Other acute respiratory infections,Females,Nepean Blue Mountains,2011/2012,322.5
Other acute respiratory infections,Females,Nepean Blue Mountains,2012/2013,326.6
Other acute respiratory infections,Females,Nepean Blue Mountains,2013/2014,334.4
Other acute respiratory infections,Females,Nepean Blue Mountains,2014/2015,332.2
Other acute respiratory infections,Females,Nepean Blue Mountains,2015/2016,331.9
Other acute respiratory infections,Females,Nepean Blue Mountains,2016/2017,381.1
Other acute respiratory infections,Females,Nepean Blue Mountains,2017/2018,417.2
Other acute respiratory infections,Females,Nepean Blue Mountains,2018/2019,422.9
Other acute respiratory infections,Females,Nepean Blue Mountains,2019/2020,340.3
Other acute respiratory infections,Females,Nepean Blue Mountains,2020/2021,296
Other acute respiratory infections,Females,Nepean Blue Mountains,2021/2022,413.9
Other acute respiratory infections,Females,Northern Sydney,2001/2002,136.8
Other acute respiratory infections,Females,Northern Sydney,2002/2003,125.6
Other acute respiratory infections,Females,Northern Sydney,2003/2004,138.6
Other acute respiratory infections,Females,Northern Sydney,2004/2005,154.6
Other acute respiratory infections,Females,Northern Sydney,2005/2006,170.3
Other acute respiratory infections,Females,Northern Sydney,2006/2007,164.2
Other acute respiratory infections,Females,Northern Sydney,2007/2008,177.6
Other acute respiratory infections,Females,Northern Sydney,2008/2009,184.5
Other acute respiratory infections,Females,Northern Sydney,2009/2010,173.6
Other acute respiratory infections,Females,Northern Sydney,2010/2011,214.9
Other acute respiratory infections,Females,Northern Sydney,2011/2012,210.4
Other acute respiratory infections,Females,Northern Sydney,2012/2013,208.2
Other acute respiratory infections,Females,Northern Sydney,2013/2014,198.4
Other acute respiratory infections,Females,Northern Sydney,2014/2015,241.1
Other acute respiratory infections,Females,Northern Sydney,2015/2016,226.2
Other acute respiratory infections,Females,Northern Sydney,2016/2017,249
Other acute respiratory infections,Females,Northern Sydney,2017/2018,217
Other acute respiratory infections,Females,Northern Sydney,2018/2019,266.9
Other acute respiratory infections,Females,Northern Sydney,2019/2020,204.3
Other acute respiratory infections,Females,Northern Sydney,2020/2021,184.7
Other acute respiratory infections,Females,Northern Sydney,2021/2022,169.1
Other acute respiratory infections,Females,Central Coast,2001/2002,187.5
Other acute respiratory infections,Females,Central Coast,2002/2003,218.9
Other acute respiratory infections,Females,Central Coast,2003/2004,212.1
Other acute respiratory infections,Females,Central Coast,2004/2005,190
Other acute respiratory infections,Females,Central Coast,2005/2006,224.1
Other acute respiratory infections,Females,Central Coast,2006/2007,189.6
Other acute respiratory infections,Females,Central Coast,2007/2008,221
Other acute respiratory infections,Females,Central Coast,2008/2009,239.4
Other acute respiratory infections,Females,Central Coast,2009/2010,243.5
Other acute respiratory infections,Females,Central Coast,2010/2011,225.7
Other acute respiratory infections,Females,Central Coast,2011/2012,227.9
Other acute respiratory infections,Females,Central Coast,2012/2013,217.8
Other acute respiratory infections,Females,Central Coast,2013/2014,240.8
Other acute respiratory infections,Females,Central Coast,2014/2015,315.1
Other acute respiratory infections,Females,Central Coast,2015/2016,292.2
Other acute respiratory infections,Females,Central Coast,2016/2017,296.1
Other acute respiratory infections,Females,Central Coast,2017/2018,286.6
Other acute respiratory infections,Females,Central Coast,2018/2019,332.3
Other acute respiratory infections,Females,Central Coast,2019/2020,269.8
Other acute respiratory infections,Females,Central Coast,2020/2021,247
Other acute respiratory infections,Females,Central Coast,2021/2022,174.7
Other acute respiratory infections,Females,Hunter New England,2001/2002,298.7
Other acute respiratory infections,Females,Hunter New England,2002/2003,304.3
Other acute respiratory infections,Females,Hunter New England,2003/2004,313.1
Other acute respiratory infections,Females,Hunter New England,2004/2005,291.9
Other acute respiratory infections,Females,Hunter New England,2005/2006,297.2
Other acute respiratory infections,Females,Hunter New England,2006/2007,280.6
Other acute respiratory infections,Females,Hunter New England,2007/2008,331.5
Other acute respiratory infections,Females,Hunter New England,2008/2009,281.3
Other acute respiratory infections,Females,Hunter New England,2009/2010,260.4
Other acute respiratory infections,Females,Hunter New England,2010/2011,288.7
Other acute respiratory infections,Females,Hunter New England,2011/2012,295.8
Other acute respiratory infections,Females,Hunter New England,2012/2013,276
Other acute respiratory infections,Females,Hunter New England,2013/2014,303.1
Other acute respiratory infections,Females,Hunter New England,2014/2015,285.5
Other acute respiratory infections,Females,Hunter New England,2015/2016,298.4
Other acute respiratory infections,Females,Hunter New England,2016/2017,321.5
Other acute respiratory infections,Females,Hunter New England,2017/2018,317.5
Other acute respiratory infections,Females,Hunter New England,2018/2019,305.4
Other acute respiratory infections,Females,Hunter New England,2019/2020,240.5
Other acute respiratory infections,Females,Hunter New England,2020/2021,186.3
Other acute respiratory infections,Females,Hunter New England,2021/2022,194.6
Other acute respiratory infections,Females,Northern NSW,2001/2002,407.5
Other acute respiratory infections,Females,Northern NSW,2002/2003,373.9
Other acute respiratory infections,Females,Northern NSW,2003/2004,411.6
Other acute respiratory infections,Females,Northern NSW,2004/2005,335.1
Other acute respiratory infections,Females,Northern NSW,2005/2006,374.9
Other acute respiratory infections,Females,Northern NSW,2006/2007,325.9
Other acute respiratory infections,Females,Northern NSW,2007/2008,426.1
Other acute respiratory infections,Females,Northern NSW,2008/2009,418.2
Other acute respiratory infections,Females,Northern NSW,2009/2010,417.3
Other acute respiratory infections,Females,Northern NSW,2010/2011,426.4
Other acute respiratory infections,Females,Northern NSW,2011/2012,363.8
Other acute respiratory infections,Females,Northern NSW,2012/2013,368.9
Other acute respiratory infections,Females,Northern NSW,2013/2014,342.9
Other acute respiratory infections,Females,Northern NSW,2014/2015,379.9
Other acute respiratory infections,Females,Northern NSW,2015/2016,420
Other acute respiratory infections,Females,Northern NSW,2016/2017,376
Other acute respiratory infections,Females,Northern NSW,2017/2018,368.8
Other acute respiratory infections,Females,Northern NSW,2018/2019,388.5
Other acute respiratory infections,Females,Northern NSW,2019/2020,291.8
Other acute respiratory infections,Females,Northern NSW,2020/2021,252.2
Other acute respiratory infections,Females,Northern NSW,2021/2022,533.3
Other acute respiratory infections,Females,Mid North Coast,2001/2002,384.7
Other acute respiratory infections,Females,Mid North Coast,2002/2003,325.6
Other acute respiratory infections,Females,Mid North Coast,2003/2004,364.6
Other acute respiratory infections,Females,Mid North Coast,2004/2005,358.7
Other acute respiratory infections,Females,Mid North Coast,2005/2006,298
Other acute respiratory infections,Females,Mid North Coast,2006/2007,345.4
Other acute respiratory infections,Females,Mid North Coast,2007/2008,402.1
Other acute respiratory infections,Females,Mid North Coast,2008/2009,366.6
Other acute respiratory infections,Females,Mid North Coast,2009/2010,309.4
Other acute respiratory infections,Females,Mid North Coast,2010/2011,335.3
Other acute respiratory infections,Females,Mid North Coast,2011/2012,316.1
Other acute respiratory infections,Females,Mid North Coast,2012/2013,249.4
Other acute respiratory infections,Females,Mid North Coast,2013/2014,335.6
Other acute respiratory infections,Females,Mid North Coast,2014/2015,276.8
Other acute respiratory infections,Females,Mid North Coast,2015/2016,288.8
Other acute respiratory infections,Females,Mid North Coast,2016/2017,346.3
Other acute respiratory infections,Females,Mid North Coast,2017/2018,285.4
Other acute respiratory infections,Females,Mid North Coast,2018/2019,338.4
Other acute respiratory infections,Females,Mid North Coast,2019/2020,238.5
Other acute respiratory infections,Females,Mid North Coast,2020/2021,241.5
Other acute respiratory infections,Females,Mid North Coast,2021/2022,283.9
Other acute respiratory infections,Females,Southern NSW,2001/2002,370.3
Other acute respiratory infections,Females,Southern NSW,2002/2003,325.1
Other acute respiratory infections,Females,Southern NSW,2003/2004,345.6
Other acute respiratory infections,Females,Southern NSW,2004/2005,346.1
Other acute respiratory infections,Females,Southern NSW,2005/2006,347.1
Other acute respiratory infections,Females,Southern NSW,2006/2007,369.3
Other acute respiratory infections,Females,Southern NSW,2007/2008,322.7
Other acute respiratory infections,Females,Southern NSW,2008/2009,369.4
Other acute respiratory infections,Females,Southern NSW,2009/2010,308.9
Other acute respiratory infections,Females,Southern NSW,2010/2011,324.1
Other acute respiratory infections,Females,Southern NSW,2011/2012,363.8
Other acute respiratory infections,Females,Southern NSW,2012/2013,342.6
Other acute respiratory infections,Females,Southern NSW,2013/2014,318.9
Other acute respiratory infections,Females,Southern NSW,2014/2015,321.7
Other acute respiratory infections,Females,Southern NSW,2015/2016,361.2
Other acute respiratory infections,Females,Southern NSW,2016/2017,341
Other acute respiratory infections,Females,Southern NSW,2017/2018,323.6
Other acute respiratory infections,Females,Southern NSW,2018/2019,334
Other acute respiratory infections,Females,Southern NSW,2019/2020,250.3
Other acute respiratory infections,Females,Southern NSW,2020/2021,239.7
Other acute respiratory infections,Females,Southern NSW,2021/2022,177
Other acute respiratory infections,Females,Murrumbidgee,2001/2002,472
Other acute respiratory infections,Females,Murrumbidgee,2002/2003,464.6
Other acute respiratory infections,Females,Murrumbidgee,2003/2004,482.5
Other acute respiratory infections,Females,Murrumbidgee,2004/2005,474.1
Other acute respiratory infections,Females,Murrumbidgee,2005/2006,464.1
Other acute respiratory infections,Females,Murrumbidgee,2006/2007,443.5
Other acute respiratory infections,Females,Murrumbidgee,2007/2008,512.2
Other acute respiratory infections,Females,Murrumbidgee,2008/2009,483.2
Other acute respiratory infections,Females,Murrumbidgee,2009/2010,430.8
Other acute respiratory infections,Females,Murrumbidgee,2010/2011,433.3
Other acute respiratory infections,Females,Murrumbidgee,2011/2012,455.1
Other acute respiratory infections,Females,Murrumbidgee,2012/2013,401.3
Other acute respiratory infections,Females,Murrumbidgee,2013/2014,424.6
Other acute respiratory infections,Females,Murrumbidgee,2014/2015,386.1
Other acute respiratory infections,Females,Murrumbidgee,2015/2016,449.5
Other acute respiratory infections,Females,Murrumbidgee,2016/2017,586.7
Other acute respiratory infections,Females,Murrumbidgee,2017/2018,531.2
Other acute respiratory infections,Females,Murrumbidgee,2018/2019,609.2
Other acute respiratory infections,Females,Murrumbidgee,2019/2020,424.7
Other acute respiratory infections,Females,Murrumbidgee,2020/2021,325.2
Other acute respiratory infections,Females,Murrumbidgee,2021/2022,299.3
Other acute respiratory infections,Females,Western NSW,2001/2002,596.5
Other acute respiratory infections,Females,Western NSW,2002/2003,546.1
Other acute respiratory infections,Females,Western NSW,2003/2004,573.1
Other acute respiratory infections,Females,Western NSW,2004/2005,491.9
Other acute respiratory infections,Females,Western NSW,2005/2006,605.9
Other acute respiratory infections,Females,Western NSW,2006/2007,473.4
Other acute respiratory infections,Females,Western NSW,2007/2008,579.5
Other acute respiratory infections,Females,Western NSW,2008/2009,477.6
Other acute respiratory infections,Females,Western NSW,2009/2010,466.1
Other acute respiratory infections,Females,Western NSW,2010/2011,457.5
Other acute respiratory infections,Females,Western NSW,2011/2012,463.8
Other acute respiratory infections,Females,Western NSW,2012/2013,432.9
Other acute respiratory infections,Females,Western NSW,2013/2014,457.2
Other acute respiratory infections,Females,Western NSW,2014/2015,419.1
Other acute respiratory infections,Females,Western NSW,2015/2016,433.6
Other acute respiratory infections,Females,Western NSW,2016/2017,546.1
Other acute respiratory infections,Females,Western NSW,2017/2018,531.4
Other acute respiratory infections,Females,Western NSW,2018/2019,511.4
Other acute respiratory infections,Females,Western NSW,2019/2020,451.9
Other acute respiratory infections,Females,Western NSW,2020/2021,300.3
Other acute respiratory infections,Females,Western NSW,2021/2022,248.8
Other acute respiratory infections,Females,Far West,2001/2002,349.9
Other acute respiratory infections,Females,Far West,2002/2003,365.2
Other acute respiratory infections,Females,Far West,2003/2004,393
Other acute respiratory infections,Females,Far West,2004/2005,349
Other acute respiratory infections,Females,Far West,2005/2006,334.5
Other acute respiratory infections,Females,Far West,2006/2007,353.2
Other acute respiratory infections,Females,Far West,2007/2008,393.8
Other acute respiratory infections,Females,Far West,2008/2009,461.7
Other acute respiratory infections,Females,Far West,2009/2010,385.3
Other acute respiratory infections,Females,Far West,2010/2011,371.1
Other acute respiratory infections,Females,Far West,2011/2012,425.6
Other acute respiratory infections,Females,Far West,2012/2013,331.7
Other acute respiratory infections,Females,Far West,2013/2014,289.7
Other acute respiratory infections,Females,Far West,2014/2015,360.4
Other acute respiratory infections,Females,Far West,2015/2016,371.3
Other acute respiratory infections,Females,Far West,2016/2017,468.2
Other acute respiratory infections,Females,Far West,2017/2018,369.6
Other acute respiratory infections,Females,Far West,2018/2019,470.2
Other acute respiratory infections,Females,Far West,2019/2020,424.6
Other acute respiratory infections,Females,Far West,2020/2021,235
Other acute respiratory infections,Females,Far West,2021/2022,225.3
Asthma,Males,Sydney,2001/2002,150.9
Asthma,Males,Sydney,2002/2003,134.4
Asthma,Males,Sydney,2003/2004,144.8
Asthma,Males,Sydney,2004/2005,151.7
Asthma,Males,Sydney,2005/2006,150.7
Asthma,Males,Sydney,2006/2007,149.1
Asthma,Males,Sydney,2007/2008,142.7
Asthma,Males,Sydney,2008/2009,147.6
Asthma,Males,Sydney,2009/2010,158.1
Asthma,Males,Sydney,2010/2011,128.9
Asthma,Males,Sydney,2011/2012,136.4
Asthma,Males,Sydney,2012/2013,158
Asthma,Males,Sydney,2013/2014,150.4
Asthma,Males,Sydney,2014/2015,130.1
Asthma,Males,Sydney,2015/2016,117.8
Asthma,Males,Sydney,2016/2017,121.7
Asthma,Males,Sydney,2017/2018,118.8
Asthma,Males,Sydney,2018/2019,116.1
Asthma,Males,Sydney,2019/2020,99.2
Asthma,Males,Sydney,2020/2021,84.8
Asthma,Males,Sydney,2021/2022,68.6
Asthma,Males,South Western Sydney,2001/2002,162.4
Asthma,Males,South Western Sydney,2002/2003,156.5
Asthma,Males,South Western Sydney,2003/2004,139.6
Asthma,Males,South Western Sydney,2004/2005,149.4
Asthma,Males,South Western Sydney,2005/2006,179.8
Asthma,Males,South Western Sydney,2006/2007,177.7
Asthma,Males,South Western Sydney,2007/2008,170.5
Asthma,Males,South Western Sydney,2008/2009,174
Asthma,Males,South Western Sydney,2009/2010,183.7
Asthma,Males,South Western Sydney,2010/2011,170.5
Asthma,Males,South Western Sydney,2011/2012,204.8
Asthma,Males,South Western Sydney,2012/2013,175.2
Asthma,Males,South Western Sydney,2013/2014,174
Asthma,Males,South Western Sydney,2014/2015,178.8
Asthma,Males,South Western Sydney,2015/2016,181
Asthma,Males,South Western Sydney,2016/2017,167.7
Asthma,Males,South Western Sydney,2017/2018,150.1
Asthma,Males,South Western Sydney,2018/2019,171.9
Asthma,Males,South Western Sydney,2019/2020,125.2
Asthma,Males,South Western Sydney,2020/2021,100.9
Asthma,Males,South Western Sydney,2021/2022,96.7
Asthma,Males,South Eastern Sydney,2001/2002,167.6
Asthma,Males,South Eastern Sydney,2002/2003,149.8
Asthma,Males,South Eastern Sydney,2003/2004,136.2
Asthma,Males,South Eastern Sydney,2004/2005,150.1
Asthma,Males,South Eastern Sydney,2005/2006,148.8
Asthma,Males,South Eastern Sydney,2006/2007,163
Asthma,Males,South Eastern Sydney,2007/2008,155.6
Asthma,Males,South Eastern Sydney,2008/2009,140
Asthma,Males,South Eastern Sydney,2009/2010,145.7
Asthma,Males,South Eastern Sydney,2010/2011,139.6
Asthma,Males,South Eastern Sydney,2011/2012,135.8
Asthma,Males,South Eastern Sydney,2012/2013,140.9
Asthma,Males,South Eastern Sydney,2013/2014,146.5
Asthma,Males,South Eastern Sydney,2014/2015,145.4
Asthma,Males,South Eastern Sydney,2015/2016,118.6
Asthma,Males,South Eastern Sydney,2016/2017,116
Asthma,Males,South Eastern Sydney,2017/2018,110.3
Asthma,Males,South Eastern Sydney,2018/2019,119.1
Asthma,Males,South Eastern Sydney,2019/2020,95.5
Asthma,Males,South Eastern Sydney,2020/2021,69.7
Asthma,Males,South Eastern Sydney,2021/2022,74.5
Asthma,Males,Illawarra Shoalhaven,2001/2002,121.4
Asthma,Males,Illawarra Shoalhaven,2002/2003,105.1
Asthma,Males,Illawarra Shoalhaven,2003/2004,109.9
Asthma,Males,Illawarra Shoalhaven,2004/2005,125.4
Asthma,Males,Illawarra Shoalhaven,2005/2006,122
Asthma,Males,Illawarra Shoalhaven,2006/2007,160.2
Asthma,Males,Illawarra Shoalhaven,2007/2008,176.2
Asthma,Males,Illawarra Shoalhaven,2008/2009,149.7
Asthma,Males,Illawarra Shoalhaven,2009/2010,153.9
Asthma,Males,Illawarra Shoalhaven,2010/2011,145.2
Asthma,Males,Illawarra Shoalhaven,2011/2012,122.3
Asthma,Males,Illawarra Shoalhaven,2012/2013,115.3
Asthma,Males,Illawarra Shoalhaven,2013/2014,112.8
Asthma,Males,Illawarra Shoalhaven,2014/2015,102.6
Asthma,Males,Illawarra Shoalhaven,2015/2016,116.5
Asthma,Males,Illawarra Shoalhaven,2016/2017,118.6
Asthma,Males,Illawarra Shoalhaven,2017/2018,105
Asthma,Males,Illawarra Shoalhaven,2018/2019,89.1
Asthma,Males,Illawarra Shoalhaven,2019/2020,58.7
Asthma,Males,Illawarra Shoalhaven,2020/2021,47.4
Asthma,Males,Illawarra Shoalhaven,2021/2022,52.7
Asthma,Males,Western Sydney,2001/2002,143.6
Asthma,Males,Western Sydney,2002/2003,116.6
Asthma,Males,Western Sydney,2003/2004,114.9
Asthma,Males,Western Sydney,2004/2005,104.4
Asthma,Males,Western Sydney,2005/2006,121.4
Asthma,Males,Western Sydney,2006/2007,152.3
Asthma,Males,Western Sydney,2007/2008,142.5
Asthma,Males,Western Sydney,2008/2009,170.7
Asthma,Males,Western Sydney,2009/2010,180.2
Asthma,Males,Western Sydney,2010/2011,154.1
Asthma,Males,Western Sydney,2011/2012,166.6
Asthma,Males,Western Sydney,2012/2013,160.5
Asthma,Males,Western Sydney,2013/2014,180.9
Asthma,Males,Western Sydney,2014/2015,177.7
Asthma,Males,Western Sydney,2015/2016,161.5
Asthma,Males,Western Sydney,2016/2017,154.4
Asthma,Males,Western Sydney,2017/2018,148.8
Asthma,Males,Western Sydney,2018/2019,150.2
Asthma,Males,Western Sydney,2019/2020,117.6
Asthma,Males,Western Sydney,2020/2021,137.7
Asthma,Males,Western Sydney,2021/2022,113.6
Asthma,Males,Nepean Blue Mountains,2001/2002,161.1
Asthma,Males,Nepean Blue Mountains,2002/2003,134.7
Asthma,Males,Nepean Blue Mountains,2003/2004,135.2
Asthma,Males,Nepean Blue Mountains,2004/2005,175.5
Asthma,Males,Nepean Blue Mountains,2005/2006,174.7
Asthma,Males,Nepean Blue Mountains,2006/2007,198.7
Asthma,Males,Nepean Blue Mountains,2007/2008,179.5
Asthma,Males,Nepean Blue Mountains,2008/2009,193.9
Asthma,Males,Nepean Blue Mountains,2009/2010,182.3
Asthma,Males,Nepean Blue Mountains,2010/2011,174.9
Asthma,Males,Nepean Blue Mountains,2011/2012,163.4
Asthma,Males,Nepean Blue Mountains,2012/2013,180.3
Asthma,Males,Nepean Blue Mountains,2013/2014,172.9
Asthma,Males,Nepean Blue Mountains,2014/2015,176.4
Asthma,Males,Nepean Blue Mountains,2015/2016,166.3
Asthma,Males,Nepean Blue Mountains,2016/2017,160.3
Asthma,Males,Nepean Blue Mountains,2017/2018,150.3
Asthma,Males,Nepean Blue Mountains,2018/2019,143.1
Asthma,Males,Nepean Blue Mountains,2019/2020,109.2
Asthma,Males,Nepean Blue Mountains,2020/2021,94.1
Asthma,Males,Nepean Blue Mountains,2021/2022,85.1
Asthma,Males,Northern Sydney,2001/2002,119.9
Asthma,Males,Northern Sydney,2002/2003,110.1
Asthma,Males,Northern Sydney,2003/2004,121.9
Asthma,Males,Northern Sydney,2004/2005,148.7
Asthma,Males,Northern Sydney,2005/2006,128.8
Asthma,Males,Northern Sydney,2006/2007,134.9
Asthma,Males,Northern Sydney,2007/2008,143.1
Asthma,Males,Northern Sydney,2008/2009,149.1
Asthma,Males,Northern Sydney,2009/2010,162.7
Asthma,Males,Northern Sydney,2010/2011,145.1
Asthma,Males,Northern Sydney,2011/2012,159.2
Asthma,Males,Northern Sydney,2012/2013,160.8
Asthma,Males,Northern Sydney,2013/2014,167.3
Asthma,Males,Northern Sydney,2014/2015,127.3
Asthma,Males,Northern Sydney,2015/2016,127.2
Asthma,Males,Northern Sydney,2016/2017,124.4
Asthma,Males,Northern Sydney,2017/2018,101.2
Asthma,Males,Northern Sydney,2018/2019,118.1
Asthma,Males,Northern Sydney,2019/2020,84.4
Asthma,Males,Northern Sydney,2020/2021,69.9
Asthma,Males,Northern Sydney,2021/2022,58.3
Asthma,Males,Central Coast,2001/2002,204.6
Asthma,Males,Central Coast,2002/2003,167.2
Asthma,Males,Central Coast,2003/2004,154.1
Asthma,Males,Central Coast,2004/2005,184.7
Asthma,Males,Central Coast,2005/2006,173
Asthma,Males,Central Coast,2006/2007,131.1
Asthma,Males,Central Coast,2007/2008,118.8
Asthma,Males,Central Coast,2008/2009,123
Asthma,Males,Central Coast,2009/2010,143.3
Asthma,Males,Central Coast,2010/2011,136.6
Asthma,Males,Central Coast,2011/2012,142
Asthma,Males,Central Coast,2012/2013,169.3
Asthma,Males,Central Coast,2013/2014,138.9
Asthma,Males,Central Coast,2014/2015,148.5
Asthma,Males,Central Coast,2015/2016,157.4
Asthma,Males,Central Coast,2016/2017,149.1
Asthma,Males,Central Coast,2017/2018,141.6
Asthma,Males,Central Coast,2018/2019,122.9
Asthma,Males,Central Coast,2019/2020,100.6
Asthma,Males,Central Coast,2020/2021,69.8
Asthma,Males,Central Coast,2021/2022,79.8
Asthma,Males,Hunter New England,2001/2002,176.9
Asthma,Males,Hunter New England,2002/2003,152.4
Asthma,Males,Hunter New England,2003/2004,142.6
Asthma,Males,Hunter New England,2004/2005,146.6
Asthma,Males,Hunter New England,2005/2006,146.7
Asthma,Males,Hunter New England,2006/2007,154.6
Asthma,Males,Hunter New England,2007/2008,150.7
Asthma,Males,Hunter New England,2008/2009,148.4
Asthma,Males,Hunter New England,2009/2010,146.1
Asthma,Males,Hunter New England,2010/2011,134.5
Asthma,Males,Hunter New England,2011/2012,144.4
Asthma,Males,Hunter New England,2012/2013,138.8
Asthma,Males,Hunter New England,2013/2014,144.2
Asthma,Males,Hunter New England,2014/2015,136
Asthma,Males,Hunter New England,2015/2016,158.5
Asthma,Males,Hunter New England,2016/2017,174.9
Asthma,Males,Hunter New England,2017/2018,163.6
Asthma,Males,Hunter New England,2018/2019,169.8
Asthma,Males,Hunter New England,2019/2020,154.7
Asthma,Males,Hunter New England,2020/2021,115.6
Asthma,Males,Hunter New England,2021/2022,96.3
Asthma,Males,Northern NSW,2001/2002,226.6
Asthma,Males,Northern NSW,2002/2003,180.3
Asthma,Males,Northern NSW,2003/2004,169.6
Asthma,Males,Northern NSW,2004/2005,204.7
Asthma,Males,Northern NSW,2005/2006,183.8
Asthma,Males,Northern NSW,2006/2007,180.7
Asthma,Males,Northern NSW,2007/2008,201.8
Asthma,Males,Northern NSW,2008/2009,212.4
Asthma,Males,Northern NSW,2009/2010,181.8
Asthma,Males,Northern NSW,2010/2011,158.1
Asthma,Males,Northern NSW,2011/2012,148
Asthma,Males,Northern NSW,2012/2013,168.6
Asthma,Males,Northern NSW,2013/2014,165.9
Asthma,Males,Northern NSW,2014/2015,153.1
Asthma,Males,Northern NSW,2015/2016,164.1
Asthma,Males,Northern NSW,2016/2017,140.5
Asthma,Males,Northern NSW,2017/2018,146.8
Asthma,Males,Northern NSW,2018/2019,111.7
Asthma,Males,Northern NSW,2019/2020,96.1
Asthma,Males,Northern NSW,2020/2021,84.1
Asthma,Males,Northern NSW,2021/2022,59.9
Asthma,Males,Mid North Coast,2001/2002,199.1
Asthma,Males,Mid North Coast,2002/2003,179
Asthma,Males,Mid North Coast,2003/2004,144.1
Asthma,Males,Mid North Coast,2004/2005,163.4
Asthma,Males,Mid North Coast,2005/2006,123.2
Asthma,Males,Mid North Coast,2006/2007,168.5
Asthma,Males,Mid North Coast,2007/2008,142.3
Asthma,Males,Mid North Coast,2008/2009,129.6
Asthma,Males,Mid North Coast,2009/2010,145.5
Asthma,Males,Mid North Coast,2010/2011,144.4
Asthma,Males,Mid North Coast,2011/2012,122.2
Asthma,Males,Mid North Coast,2012/2013,155.3
Asthma,Males,Mid North Coast,2013/2014,135.7
Asthma,Males,Mid North Coast,2014/2015,167.6
Asthma,Males,Mid North Coast,2015/2016,145.2
Asthma,Males,Mid North Coast,2016/2017,167.8
Asthma,Males,Mid North Coast,2017/2018,169.5
Asthma,Males,Mid North Coast,2018/2019,139
Asthma,Males,Mid North Coast,2019/2020,124.2
Asthma,Males,Mid North Coast,2020/2021,86.2
Asthma,Males,Mid North Coast,2021/2022,88.2
Asthma,Males,Southern NSW,2001/2002,160.5
Asthma,Males,Southern NSW,2002/2003,125.3
Asthma,Males,Southern NSW,2003/2004,120.7
Asthma,Males,Southern NSW,2004/2005,110.8
Asthma,Males,Southern NSW,2005/2006,108.8
Asthma,Males,Southern NSW,2006/2007,119.6
Asthma,Males,Southern NSW,2007/2008,106
Asthma,Males,Southern NSW,2008/2009,119.3
Asthma,Males,Southern NSW,2009/2010,140.9
Asthma,Males,Southern NSW,2010/2011,145.7
Asthma,Males,Southern NSW,2011/2012,151
Asthma,Males,Southern NSW,2012/2013,153.5
Asthma,Males,Southern NSW,2013/2014,125.8
Asthma,Males,Southern NSW,2014/2015,111.4
Asthma,Males,Southern NSW,2015/2016,104.9
Asthma,Males,Southern NSW,2016/2017,129.1
Asthma,Males,Southern NSW,2017/2018,133.9
Asthma,Males,Southern NSW,2018/2019,160.1
Asthma,Males,Southern NSW,2019/2020,93.5
Asthma,Males,Southern NSW,2020/2021,73.2
Asthma,Males,Southern NSW,2021/2022,47.6
