"Acute respiratory infection hospitalisations by Acute respiratory infection, Age (years), Sex and LHD",,,,,,,
Acute respiratory infection,Age (years),Sex,LHD,Period,"Rate per 100,000 population",LL 95% CI,UL 95% CI
Influenza and pneumonia,All ages,Persons,All LHDs,1-Feb,279.4,275.4,283.4
Influenza and pneumonia,All ages,Persons,All LHDs,2-Mar,288.9,284.8,292.9
Influenza and pneumonia,All ages,Persons,All LHDs,3-Apr,295.8,291.8,300
Influenza and pneumonia,All ages,Persons,All LHDs,4-May,281.2,277.2,285.1
Influenza and pneumonia,All ages,Persons,All LHDs,5-Jun,267.3,263.5,271.2
Influenza and pneumonia,All ages,Persons,All LHDs,6-Jul,255.5,251.8,259.2
Influenza and pneumonia,All ages,Persons,All LHDs,7-Aug,287.3,283.5,291.2
Influenza and pneumonia,All ages,Persons,All LHDs,8-Sep,275.3,271.6,279.1
Influenza and pneumonia,All ages,Persons,All LHDs,9-Oct,273.7,270,277.5
Influenza and pneumonia,All ages,Persons,All LHDs,10-Nov,287.4,283.6,291.2
Influenza and pneumonia,All ages,Persons,All LHDs,11-Dec,297.9,294.1,301.7
Influenza and pneumonia,All ages,Persons,All LHDs,Dec-13,271,267.5,274.6
Influenza and pneumonia,All ages,Persons,All LHDs,13/14,272.8,269.3,276.4
Influenza and pneumonia,All ages,Persons,All LHDs,14/15,325.6,321.7,329.5
Influenza and pneumonia,All ages,Persons,All LHDs,15/16,334.6,330.7,338.5
Influenza and pneumonia,All ages,Persons,All LHDs,16/17,337.4,333.6,341.3
Influenza and pneumonia,All ages,Persons,All LHDs,17/18,391.3,387.2,395.4
Influenza and pneumonia,All ages,Persons,All LHDs,18/19,372.6,368.6,376.6
Influenza and pneumonia,All ages,Persons,All LHDs,19/20,351.5,347.7,355.4
Influenza and pneumonia,All ages,Persons,All LHDs,20/21,206.3,203.4,209.2
Other acute respiratory infection,0-4 years,Males,Sydney LHD,1-Feb,"2,304.40","2,067.30","2,561.20"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,2-Mar,"2,108.50","1,883.50","2,353.10"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,3-Apr,"2,104.60","1,881.70","2,346.80"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,4-May,"1,764.20","1,561.90","1,985.60"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,5-Jun,"1,990.30","1,776.20","2,223.10"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,6-Jul,"2,206.10","1,984.40","2,445.90"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,7-Aug,"2,042.10","1,834.30","2,266.90"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,8-Sep,"2,157.20","1,947.60","2,383.20"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,9-Oct,"2,203.30","1,994.70","2,427.80"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,10-Nov,"2,238.90","2,030.40","2,463.10"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,11-Dec,"2,190.70","1,986.40","2,410.30"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,Dec-13,"2,102.60","1,904.70","2,315.50"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,13/14,"2,426.40","2,214.30","2,653.20"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,14/15,"2,220.80","2,018.10","2,438.30"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,15/16,"2,424.30","2,212.10","2,651.50"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,16/17,"2,033.70","1,840.50","2,241.80"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,17/18,"2,378.00","2,169.30","2,601.30"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,18/19,"2,346.30","2,139.60","2,567.60"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,19/20,"1,661.70","1,488.20","1,849.80"
Other acute respiratory infection,0-4 years,Males,Sydney LHD,20/21,"1,962.10","1,770.80","2,168.60"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,1-Feb,"2,685.00","2,505.80","2,873.60"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,2-Mar,"2,563.00","2,386.80","2,748.80"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,3-Apr,"2,933.60","2,744.40","3,132.50"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,4-May,"2,774.90","2,591.00","2,968.40"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,5-Jun,"2,903.90","2,716.90","3,100.40"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,6-Jul,"3,075.20","2,884.10","3,275.60"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,7-Aug,"3,765.10","3,554.30","3,985.00"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,8-Sep,"3,206.20","3,012.80","3,408.90"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,9-Oct,"3,299.80","3,104.40","3,504.30"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,10-Nov,"3,591.40","3,387.90","3,804.00"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,11-Dec,"4,185.90","3,966.60","4,414.10"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,Dec-13,"4,134.90","3,918.40","4,360.20"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,13/14,"4,111.40","3,897.50","4,334.00"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,14/15,"4,175.40","3,962.50","4,396.80"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,15/16,"4,157.90","3,948.70","4,375.20"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,16/17,"4,274.30","4,064.70","4,491.80"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,17/18,"4,768.00","4,548.00","4,995.80"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,18/19,"5,156.20","4,929.20","5,391.00"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,19/20,"4,052.70","3,852.90","4,260.10"
Other acute respiratory infection,0-4 years,Males,South Western Sydney LHD,20/21,"4,014.60","3,814.80","4,222.10"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,1-Feb,"1,738.00","1,569.00","1,920.40"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,2-Mar,"1,506.90","1,349.80","1,677.20"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,3-Apr,"1,611.10","1,448.70","1,786.70"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,4-May,"1,898.20","1,722.00","2,087.50"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,5-Jun,"2,000.20","1,820.20","2,193.10"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,6-Jul,"1,821.70","1,652.60","2,003.40"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,7-Aug,"2,035.60","1,860.00","2,223.20"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,8-Sep,"1,778.20","1,617.00","1,951.20"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,9-Oct,"1,707.30","1,551.20","1,875.00"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,10-Nov,"2,078.30","1,906.20","2,261.80"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,11-Dec,"1,998.40","1,830.90","2,177.10"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,Dec-13,"1,948.30","1,784.90","2,122.70"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,13/14,"2,208.70","2,035.20","2,393.10"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,14/15,"2,068.60","1,900.70","2,247.40"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,15/16,"1,893.00","1,732.50","2,064.30"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,16/17,"1,993.70","1,829.20","2,169.00"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,17/18,"1,840.00","1,681.60","2,009.30"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,18/19,"2,131.60","1,959.90","2,314.30"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,19/20,"1,791.10","1,633.30","1,960.00"
Other acute respiratory infection,0-4 years,Males,South Eastern Sydney LHD,20/21,"1,886.70","1,723.10","2,061.50"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,1-Feb,"2,157.70","1,902.90","2,437.10"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,2-Mar,"1,623.70","1,402.20","1,870.40"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,3-Apr,"2,017.60","1,767.30","2,293.30"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,4-May,"1,908.80","1,663.20","2,180.40"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,5-Jun,"2,178.60","1,914.40","2,469.20"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,6-Jul,"2,346.10","2,072.10","2,646.20"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,7-Aug,"2,684.90","2,393.40","3,002.10"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,8-Sep,"2,298.90","2,031.80","2,591.20"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,9-Oct,"2,085.30","1,833.30","2,362.20"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,10-Nov,"1,788.70","1,557.10","2,045.10"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,11-Dec,"1,897.20","1,658.90","2,160.10"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,Dec-13,"1,898.60","1,661.10","2,160.40"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,13/14,"1,901.20","1,664.50","2,162.30"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,14/15,"2,220.50","1,964.90","2,500.10"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,15/16,"1,741.90","1,517.80","1,989.70"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,16/17,"2,121.00","1,873.30","2,392.40"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,17/18,"2,066.30","1,821.40","2,335.00"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,18/19,"2,249.20","1,993.40","2,528.70"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,19/20,"1,641.90","1,424.30","1,883.40"
Other acute respiratory infection,0-4 years,Males,Illawarra Shoalhaven LHD,20/21,"2,117.50","1,868.40","2,390.60"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,1-Feb,"2,257.60","2,082.80","2,443.10"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,2-Mar,"1,807.80","1,652.30","1,973.90"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,3-Apr,"1,842.00","1,685.70","2,008.80"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,4-May,"1,604.90","1,459.80","1,760.40"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,5-Jun,"1,700.00","1,551.60","1,858.80"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,6-Jul,"1,972.90","1,814.60","2,141.30"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,7-Aug,"2,191.10","2,027.00","2,365.00"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,8-Sep,"2,069.20","1,912.70","2,235.10"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,9-Oct,"2,069.50","1,915.40","2,232.70"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,10-Nov,"1,924.10","1,777.20","2,079.80"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,11-Dec,"2,139.40","1,986.00","2,301.40"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,Dec-13,"2,587.10","2,420.60","2,762.00"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,13/14,"2,675.50","2,508.50","2,850.70"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,14/15,"2,734.10","2,567.10","2,909.10"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,15/16,"2,669.40","2,505.80","2,840.80"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,16/17,"2,942.60","2,772.30","3,120.60"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,17/18,"2,987.10","2,816.70","3,165.10"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,18/19,"3,344.80","3,165.10","3,532.10"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,19/20,"2,604.30","2,446.50","2,769.70"
Other acute respiratory infection,0-4 years,Males,Western Sydney LHD,20/21,"3,632.00","3,443.90","3,827.70"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,1-Feb,"3,401.30","3,089.80","3,735.70"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,2-Mar,"2,695.40","2,415.20","2,999.00"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,3-Apr,"3,002.50","2,704.30","3,324.60"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,4-May,"3,152.20","2,845.20","3,483.40"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,5-Jun,"3,320.20","3,003.20","3,661.60"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,6-Jul,"3,669.30","3,335.60","4,027.50"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,7-Aug,"4,635.40","4,261.60","5,033.10"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,8-Sep,"3,663.20","3,334.00","4,016.20"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,9-Oct,"3,132.00","2,829.20","3,458.40"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,10-Nov,"3,529.90","3,206.60","3,876.90"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,11-Dec,"3,267.10","2,955.90","3,602.20"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,Dec-13,"3,900.10","3,561.70","4,262.00"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,13/14,"4,137.70","3,791.00","4,507.60"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,14/15,"3,551.90","3,233.00","3,893.80"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,15/16,"3,647.20","3,327.20","3,989.70"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,16/17,"3,923.90","3,593.30","4,276.90"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,17/18,"4,985.00","4,610.50","5,381.80"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,18/19,"5,210.20","4,827.00","5,615.80"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,19/20,"3,899.80","3,569.20","4,252.70"
Other acute respiratory infection,0-4 years,Males,Nepean Blue Mountains LHD,20/21,"3,854.80","3,523.30","4,209.00"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,1-Feb,"1,962.30","1,788.00","2,149.00"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,2-Mar,"1,472.00","1,322.10","1,634.40"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,3-Apr,"1,620.00","1,463.00","1,789.30"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,4-May,"1,694.70","1,534.50","1,867.20"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,5-Jun,"1,727.00","1,565.80","1,900.30"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,6-Jul,"2,207.60","2,026.60","2,400.40"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,7-Aug,"1,889.80","1,725.00","2,066.10"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,8-Sep,"2,022.80","1,854.70","2,202.10"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,9-Oct,"1,880.60","1,720.70","2,051.30"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,10-Nov,"2,306.70","2,130.40","2,493.80"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,11-Dec,"2,061.40","1,896.00","2,237.30"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,Dec-13,"1,882.90","1,726.70","2,049.50"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,13/14,"1,946.90","1,789.10","2,114.80"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,14/15,"2,082.60","1,919.70","2,255.70"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,15/16,"2,297.90","2,126.40","2,479.50"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,16/17,"1,974.50","1,815.70","2,143.40"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,17/18,"2,236.40","2,066.10","2,417.00"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,18/19,"2,570.10","2,384.90","2,765.80"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,19/20,"1,998.80","1,833.30","2,175.30"
Other acute respiratory infection,0-4 years,Males,Northern Sydney LHD,20/21,"1,894.20","1,730.70","2,069.00"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,1-Feb,"2,365.90","2,072.50","2,689.30"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,2-Mar,"2,311.50","2,018.70","2,634.90"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,3-Apr,"2,479.30","2,173.70","2,815.90"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,4-May,"2,483.00","2,176.30","2,820.90"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,5-Jun,"2,414.30","2,113.00","2,746.50"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,6-Jul,"2,607.10","2,296.30","2,948.30"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,7-Aug,"2,515.50","2,213.90","2,846.80"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,8-Sep,"2,222.50","1,942.80","2,531.30"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,9-Oct,"2,654.70","2,350.80","2,987.10"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,10-Nov,"2,183.80","1,909.50","2,486.40"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,11-Dec,"2,199.30","1,924.20","2,502.60"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,Dec-13,"2,155.70","1,884.40","2,455.20"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,13/14,"2,577.20","2,280.00","2,902.40"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,14/15,"2,771.10","2,463.40","3,106.70"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,15/16,"3,123.40","2,797.80","3,476.40"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,16/17,"2,662.80","2,363.10","2,990.00"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,17/18,"2,845.80","2,534.80","3,184.30"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,18/19,"3,112.10","2,785.80","3,466.10"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,19/20,"2,532.60","2,237.90","2,855.30"
Other acute respiratory infection,0-4 years,Males,Central Coast LHD,20/21,"2,934.60","2,612.90","3,284.90"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,1-Feb,"3,136.30","2,929.80","3,353.50"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,2-Mar,"2,765.30","2,571.30","2,970.10"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,3-Apr,"2,792.80","2,597.30","2,999.20"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,4-May,"2,569.40","2,381.10","2,768.60"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,5-Jun,"2,708.90","2,514.90","2,913.90"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,6-Jul,"2,442.60","2,259.50","2,636.60"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,7-Aug,"2,939.80","2,740.90","3,149.30"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,8-Sep,"2,472.60","2,292.50","2,663.00"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,9-Oct,"2,461.80","2,283.80","2,650.00"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,10-Nov,"2,379.60","2,205.00","2,564.40"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,11-Dec,"2,670.40","2,485.40","2,865.40"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,Dec-13,"2,747.10","2,560.60","2,943.60"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,13/14,"2,848.40","2,659.10","3,047.60"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,14/15,"2,801.60","2,614.10","2,999.00"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,15/16,"2,409.20","2,236.30","2,591.90"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,16/17,"2,861.40","2,672.60","3,059.90"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,17/18,"2,760.70","2,573.60","2,957.80"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,18/19,"3,097.40","2,897.50","3,307.40"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,19/20,"2,255.50","2,085.00","2,436.20"
Other acute respiratory infection,0-4 years,Males,Hunter New England LHD,20/21,"2,208.80","2,039.10","2,388.80"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,1-Feb,"3,705.30","3,300.40","4,146.10"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,2-Mar,"3,829.60","3,415.70","4,279.70"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,3-Apr,"3,821.70","3,407.40","4,272.40"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,4-May,"3,429.10","3,035.80","3,859.30"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,5-Jun,"3,776.00","3,360.70","4,228.30"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,6-Jul,"3,762.30","3,349.90","4,211.50"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,7-Aug,"3,866.70","3,453.90","4,315.10"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,8-Sep,"4,606.50","4,161.20","5,086.50"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,9-Oct,"4,581.70","4,143.10","5,054.10"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,10-Nov,"3,731.80","3,338.20","4,159.00"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,11-Dec,"3,626.80","3,238.50","4,048.80"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,Dec-13,"3,154.60","2,793.40","3,549.60"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,13/14,"3,844.10","3,441.70","4,280.70"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,14/15,"3,622.40","3,228.50","4,051.10"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,15/16,"3,276.10","2,900.30","3,687.10"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,16/17,"3,503.50","3,112.50","3,930.00"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,17/18,"4,379.30","3,936.70","4,858.00"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,18/19,"4,310.70","3,869.60","4,788.20"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,19/20,"3,191.80","2,815.50","3,604.20"
Other acute respiratory infection,0-4 years,Males,Northern NSW LHD,20/21,"3,096.40","2,725.90","3,503.30"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,1-Feb,"3,625.50","3,147.30","4,155.80"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,2-Mar,"3,851.20","3,358.00","4,396.50"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,3-Apr,"4,502.10","3,968.40","5,087.50"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,4-May,"3,012.80","2,577.00","3,501.30"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,5-Jun,"3,278.10","2,819.10","3,790.50"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,6-Jul,"2,916.10","2,486.80","3,398.10"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,7-Aug,"4,313.20","3,797.10","4,880.00"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,8-Sep,"3,104.10","2,676.20","3,580.90"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,9-Oct,"3,488.70","3,040.00","3,985.10"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,10-Nov,"3,289.50","2,853.60","3,773.20"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,11-Dec,"3,336.60","2,897.50","3,823.40"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,Dec-13,"2,612.60","2,229.20","3,043.10"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,13/14,"3,056.50","2,640.40","3,519.40"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,14/15,"2,719.30","2,325.90","3,160.30"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,15/16,"2,691.90","2,296.80","3,135.40"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,16/17,"3,926.50","3,440.50","4,461.90"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,17/18,"3,184.60","2,744.50","3,675.20"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,18/19,"3,679.40","3,205.10","4,204.20"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,19/20,"2,602.40","2,210.00","3,044.30"
Other acute respiratory infection,0-4 years,Males,Mid North Coast LHD,20/21,"2,339.90","1,969.60","2,759.60"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,1-Feb,"3,993.60","3,489.90","4,549.70"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,2-Mar,"2,233.40","1,861.90","2,657.30"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,3-Apr,"2,658.00","2,250.90","3,117.40"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,4-May,"2,279.00","1,902.70","2,707.90"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,5-Jun,"2,918.20","2,491.10","3,397.40"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,6-Jul,"2,851.20","2,432.80","3,321.00"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,7-Aug,"2,442.30","2,061.00","2,873.80"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,8-Sep,"2,630.30","2,238.50","3,070.90"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,9-Oct,"3,231.80","2,800.40","3,710.80"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,10-Nov,"2,837.70","2,435.00","3,287.90"
Other acute respiratory infection,0-4 years,Males,Southern NSW LHD,11-Dec,"3,537.00","3,085.00","4,036.50"
