year-month,lhd,"Female rate per 100,000 population","Male rate per 100,000 population","Persons rate per 100,000 population"
2018-01,Murrumbidgee,42.3,26.5,34.4
2018-02,Murrumbidgee,33.6,42.0,38.1
2018-03,Murrumbidgee,50.2,33.6,42.0
2018-04,Murrumbidgee,41.7,32.6,37.2
2018-05,Murrumbidgee,66.2,41.1,53.4
2018-06,Murrumbidgee,45.6,46.5,46.1
2018-07,Murrumbidgee,60.8,45.8,53.2
2018-08,Murrumbidgee,64.8,38.9,51.9
2018-09,Murrumbidgee,69.5,49.4,59.5
2018-10,Murrumbidgee,57.3,42.2,49.7
2018-11,Murrumbidgee,68.1,48.2,58.2
2018-12,Murrumbidgee,37.0,38.1,37.8
2019-01,Murrumbidgee,31.9,20.2,26.0
2019-02,Murrumbidgee,42.3,43.6,43.1
2019-03,Murrumbidgee,58.2,36.6,47.4
2019-04,Murrumbidgee,66.0,42.6,54.3
2019-05,Murrumbidgee,58.1,45.9,51.9
2019-06,Murrumbidgee,56.7,49.4,53.1
2019-07,Murrumbidgee,60.8,49.4,55.2
2019-08,Murrumbidgee,58.7,51.4,55.2
2019-09,Murrumbidgee,69.7,50.2,60.2
2019-10,Murrumbidgee,48.2,61.1,54.8
2019-11,Murrumbidgee,70.1,52.4,61.1
2019-12,Murrumbidgee,74.9,38.0,56.3
2020-01,Murrumbidgee,76.1,43.5,59.6
2020-02,Murrumbidgee,39.1,28.2,33.6
2020-03,Murrumbidgee,47.4,38.6,43.0
2020-04,Murrumbidgee,29.9,16.4,23.1
2020-05,Murrumbidgee,31.4,13.3,22.4
2020-06,Murrumbidgee,34.3,35.7,35.1
2020-07,Murrumbidgee,43.2,30.4,36.6
2020-08,Murrumbidgee,43.5,20.3,31.7
2020-09,Murrumbidgee,32.0,24.6,28.3
2020-10,Murrumbidgee,91.0,82.8,87.2
2020-11,Murrumbidgee,62.5,51.1,56.9
2020-12,Murrumbidgee,51.6,42.7,47.4
2021-01,Murrumbidgee,30.8,19.5,25.1
2021-02,Murrumbidgee,41.3,27.8,34.4
2021-03,Murrumbidgee,45.3,40.3,42.8
2021-04,Murrumbidgee,52.8,40.5,46.8
2021-05,Murrumbidgee,58.3,36.4,47.2
2021-06,Murrumbidgee,55.9,42.8,49.2
2021-07,Murrumbidgee,35.8,25.8,30.7
2021-08,Murrumbidgee,63.3,36.1,49.5
2021-09,Murrumbidgee,36.4,19.2,28.0
2021-10,Murrumbidgee,50.0,48.6,49.4
2021-11,Murrumbidgee,50.9,51.4,51.3
2021-12,Murrumbidgee,48.2,51.1,49.8
2022-01,Murrumbidgee,33.6,20.0,26.7
2022-02,Murrumbidgee,32.4,24.0,28.2
2022-03,Murrumbidgee,38.9,32.8,35.9
2022-04,Murrumbidgee,61.7,43.7,52.8
2022-05,Murrumbidgee,68.5,75.3,72.2
2022-06,Murrumbidgee,63.7,37.8,50.8
2022-07,Murrumbidgee,62.1,48.6,55.4
2022-08,Murrumbidgee,73.8,65.3,69.5
2022-09,Murrumbidgee,79.9,69.1,74.6
2022-10,Murrumbidgee,99.9,83.1,91.7
2022-11,Murrumbidgee,73.4,93.6,83.5
2022-12,Murrumbidgee,54.9,43.3,49.2
2023-01,Murrumbidgee,39.9,42.3,41.1
2023-02,Murrumbidgee,38.2,38.8,38.6
2023-03,Murrumbidgee,44.2,34.9,39.7
2023-04,Murrumbidgee,59.9,46.1,53.1
2023-05,Murrumbidgee,80.8,43.7,62.2
2023-06,Murrumbidgee,54.5,43.2,49.1
2023-07,Murrumbidgee,54.08461538461538,42.330769230769235,48.43846153846154
2023-08,Murrumbidgee,53.66923076923077,41.46153846153847,47.776923076923076
2023-09,Murrumbidgee,53.253846153846155,40.59230769230769,47.11538461538461
2023-10,Murrumbidgee,52.83846153846154,39.723076923076924,46.45384615384616
2023-11,Murrumbidgee,52.42307692307692,38.853846153846156,45.792307692307695
2023-12,Murrumbidgee,52.00769230769231,37.98461538461539,45.13076923076923
2024-01,Murrumbidgee,51.59230769230769,37.11538461538461,44.46923076923077
2024-02,Murrumbidgee,51.176923076923075,36.246153846153845,43.80769230769231
2024-03,Murrumbidgee,50.761538461538464,35.37692307692308,43.146153846153844
2024-04,Murrumbidgee,50.34615384615385,34.50769230769231,42.48461538461538
2024-05,Murrumbidgee,49.93076923076923,33.63846153846154,41.823076923076925
2024-06,Murrumbidgee,49.51538461538462,32.76923076923077,41.16153846153846
2014-07,Nepean Blue Mountains,49.1,31.9,40.5
2014-08,Nepean Blue Mountains,41.1,33.5,37.6
2014-09,Nepean Blue Mountains,39.8,41.4,40.9
2014-10,Nepean Blue Mountains,33.6,32.7,33.3
2014-11,Nepean Blue Mountains,33.1,22.6,27.9
2014-12,Nepean Blue Mountains,32.2,29.5,31.1
2015-01,Nepean Blue Mountains,24.7,20.9,22.8
2015-02,Nepean Blue Mountains,29.7,32.6,31.3
2015-03,Nepean Blue Mountains,36.0,29.2,32.9
2015-04,Nepean Blue Mountains,37.8,29.4,33.8
2015-05,Nepean Blue Mountains,40.4,42.9,42.0
2015-06,Nepean Blue Mountains,48.1,31.1,39.9
2015-07,Nepean Blue Mountains,38.8,29.8,34.3
2015-08,Nepean Blue Mountains,44.0,38.1,41.5
2015-09,Nepean Blue Mountains,25.7,29.3,27.7
2015-10,Nepean Blue Mountains,37.2,26.8,32.2
2015-11,Nepean Blue Mountains,25.9,25.7,26.0
2015-12,Nepean Blue Mountains,19.0,18.8,18.8
2016-01,Nepean Blue Mountains,26.3,20.5,23.4
2016-02,Nepean Blue Mountains,44.7,47.7,46.2
2016-03,Nepean Blue Mountains,33.8,28.7,31.3
2016-04,Nepean Blue Mountains,31.6,22.9,27.2
2016-05,Nepean Blue Mountains,45.8,29.5,37.7
2016-06,Nepean Blue Mountains,26.3,28.3,27.1
2016-07,Nepean Blue Mountains,38.0,30.4,34.4
2016-08,Nepean Blue Mountains,40.2,33.1,36.8
2016-09,Nepean Blue Mountains,36.5,30.2,33.4
2016-10,Nepean Blue Mountains,25.8,27.1,26.4
2016-11,Nepean Blue Mountains,30.4,24.9,27.8
2016-12,Nepean Blue Mountains,28.3,19.9,24.3
2017-01,Nepean Blue Mountains,23.7,14.8,19.3
2017-02,Nepean Blue Mountains,23.4,29.2,26.3
2017-03,Nepean Blue Mountains,39.8,32.8,36.3
2017-04,Nepean Blue Mountains,48.8,36.8,42.9
2017-05,Nepean Blue Mountains,58.1,47.5,53.2
2017-06,Nepean Blue Mountains,45.6,38.6,42.4
2017-07,Nepean Blue Mountains,47.9,29.2,38.9
2017-08,Nepean Blue Mountains,36.1,23.7,30.3
2017-09,Nepean Blue Mountains,31.8,22.7,27.6
2017-10,Nepean Blue Mountains,37.0,26.6,32.0
2017-11,Nepean Blue Mountains,31.9,26.9,29.6
2017-12,Nepean Blue Mountains,27.2,21.9,24.7
2018-01,Nepean Blue Mountains,21.3,10.6,16.0
2018-02,Nepean Blue Mountains,25.0,21.8,23.7
2018-03,Nepean Blue Mountains,43.7,30.7,37.3
2018-04,Nepean Blue Mountains,24.1,31.7,27.7
2018-05,Nepean Blue Mountains,34.4,42.4,38.5
2018-06,Nepean Blue Mountains,35.9,32.0,34.3
2018-07,Nepean Blue Mountains,30.7,25.9,28.5
2018-08,Nepean Blue Mountains,36.7,24.0,30.3
2018-09,Nepean Blue Mountains,33.8,24.1,29.1
2018-10,Nepean Blue Mountains,26.4,20.0,23.4
2018-11,Nepean Blue Mountains,31.8,20.8,26.6
2018-12,Nepean Blue Mountains,24.6,18.1,21.5
2019-01,Nepean Blue Mountains,23.0,23.4,23.4
2019-02,Nepean Blue Mountains,33.5,35.8,34.9
2019-03,Nepean Blue Mountains,37.7,38.5,38.3
2019-04,Nepean Blue Mountains,35.7,33.4,34.7
2019-05,Nepean Blue Mountains,47.6,34.9,41.1
2019-06,Nepean Blue Mountains,43.6,32.9,38.7
2019-07,Nepean Blue Mountains,36.6,29.9,33.3
2019-08,Nepean Blue Mountains,30.9,25.1,28.0
2019-09,Nepean Blue Mountains,33.9,23.2,28.8
2019-10,Nepean Blue Mountains,21.7,19.1,20.3
2019-11,Nepean Blue Mountains,37.1,16.9,27.1
2019-12,Nepean Blue Mountains,47.7,26.8,37.2
2020-01,Nepean Blue Mountains,24.4,20.6,22.6
2020-02,Nepean Blue Mountains,25.1,24.2,24.8
2020-03,Nepean Blue Mountains,40.5,37.8,39.3
2020-04,Nepean Blue Mountains,16.6,11.5,14.1
2020-05,Nepean Blue Mountains,12.6,15.4,14.0
2020-06,Nepean Blue Mountains,38.9,24.7,31.9
2020-07,Nepean Blue Mountains,16.6,21.6,19.1
2020-08,Nepean Blue Mountains,19.1,18.6,18.9
2020-09,Nepean Blue Mountains,18.3,14.7,16.7
2020-10,Nepean Blue Mountains,23.0,16.1,19.7
2020-11,Nepean Blue Mountains,20.2,22.2,21.3
2020-12,Nepean Blue Mountains,18.8,17.8,18.3
2021-01,Nepean Blue Mountains,9.7,11.8,10.8
2021-02,Nepean Blue Mountains,22.5,19.0,20.8
2021-03,Nepean Blue Mountains,32.4,16.6,24.6
2021-04,Nepean Blue Mountains,24.9,25.0,25.0
2021-05,Nepean Blue Mountains,32.1,31.6,31.9
2021-06,Nepean Blue Mountains,30.8,19.8,25.2
2021-07,Nepean Blue Mountains,24.8,13.0,18.9
2021-08,Nepean Blue Mountains,14.2,7.6,11.0
2021-09,Nepean Blue Mountains,10.2,7.4,8.8
2021-10,Nepean Blue Mountains,12.2,10.8,11.6
2021-11,Nepean Blue Mountains,10.6,19.4,15.0
2021-12,Nepean Blue Mountains,12.9,15.1,14.1
2022-01,Nepean Blue Mountains,20.3,7.1,13.8
2022-02,Nepean Blue Mountains,15.2,16.9,16.1
2022-03,Nepean Blue Mountains,36.2,32.1,34.3
2022-04,Nepean Blue Mountains,36.3,27.6,32.0
2022-05,Nepean Blue Mountains,48.0,52.3,50.3
2022-06,Nepean Blue Mountains,31.9,28.7,30.4
2022-07,Nepean Blue Mountains,22.7,18.7,20.8
2022-08,Nepean Blue Mountains,30.9,27.4,29.4
2022-09,Nepean Blue Mountains,31.9,23.3,27.7
2022-10,Nepean Blue Mountains,25.4,18.5,22.1
2022-11,Nepean Blue Mountains,19.4,20.8,20.3
2022-12,Nepean Blue Mountains,18.6,14.1,16.4
2023-01,Nepean Blue Mountains,15.0,10.9,13.1
2023-02,Nepean Blue Mountains,20.1,21.7,21.0
2023-03,Nepean Blue Mountains,16.3,23.6,20.1
2023-04,Nepean Blue Mountains,29.0,30.3,29.7
2023-05,Nepean Blue Mountains,33.0,25.0,29.0
2023-06,Nepean Blue Mountains,30.0,27.0,28.5
2023-07,Nepean Blue Mountains,32.19230769230769,28.684615384615384,30.446153846153845
2023-08,Nepean Blue Mountains,34.38461538461539,30.369230769230768,32.39230769230769
2023-09,Nepean Blue Mountains,36.57692307692308,32.05384615384615,34.33846153846154
2023-10,Nepean Blue Mountains,38.769230769230774,33.738461538461536,36.284615384615385
2023-11,Nepean Blue Mountains,40.96153846153847,35.42307692307692,38.230769230769226
2023-12,Nepean Blue Mountains,43.15384615384615,37.107692307692304,40.176923076923075
2024-01,Nepean Blue Mountains,45.34615384615385,38.79230769230769,42.12307692307692
2024-02,Nepean Blue Mountains,47.53846153846154,40.47692307692307,44.06923076923077
2024-03,Nepean Blue Mountains,49.73076923076923,42.161538461538456,46.01538461538461
2024-04,Nepean Blue Mountains,51.92307692307693,43.84615384615384,47.96153846153846
2024-05,Nepean Blue Mountains,54.11538461538461,45.530769230769224,49.9076923076923
2024-06,Nepean Blue Mountains,56.30769230769231,47.215384615384615,51.85384615384615
2014-07,Northern NSW,58.5,48.9,53.8
2014-08,Northern NSW,68.7,43.9,56.9
2014-09,Northern NSW,57.9,51.6,55.0
2014-10,Northern NSW,41.3,47.5,44.7
2014-11,Northern NSW,50.8,36.0,43.6
2014-12,Northern NSW,52.5,34.9,44.0
2015-01,Northern NSW,44.9,23.5,34.6
2015-02,Northern NSW,54.6,48.8,52.0
2015-03,Northern NSW,51.8,49.5,50.6
2015-04,Northern NSW,53.5,53.2,53.7
2015-05,Northern NSW,58.4,68.4,63.5
2015-06,Northern NSW,70.0,64.1,67.6
2015-07,Northern NSW,62.7,62.3,62.5
2015-08,Northern NSW,83.4,73.4,78.9
2015-09,Northern NSW,71.1,63.8,68.0
2015-10,Northern NSW,65.5,56.6,61.5
2015-11,Northern NSW,58.7,66.4,62.6
2015-12,Northern NSW,53.3,44.0,49.0
2016-01,Northern NSW,33.3,27.6,30.6
2016-02,Northern NSW,41.9,34.7,38.4
2016-03,Northern NSW,46.5,42.6,45.0
2016-04,Northern NSW,37.7,42.8,40.5
2016-05,Northern NSW,66.3,70.0,68.7
2016-06,Northern NSW,48.8,65.7,57.7
2016-07,Northern NSW,52.8,43.8,48.6
2016-08,Northern NSW,76.1,59.3,68.1
2016-09,Northern NSW,57.6,44.8,51.6
2016-10,Northern NSW,48.0,41.3,45.0
2016-11,Northern NSW,43.5,35.5,40.1
2016-12,Northern NSW,35.0,42.5,38.9
2017-01,Northern NSW,27.4,23.3,25.5
2017-02,Northern NSW,39.8,34.6,37.2
2017-03,Northern NSW,50.8,38.6,44.8
2017-04,Northern NSW,52.7,48.0,50.6
2017-05,Northern NSW,68.4,64.6,66.9
2017-06,Northern NSW,67.3,67.6,67.9
2017-07,Northern NSW,69.3,52.2,61.2
2017-08,Northern NSW,69.5,60.8,65.7
2017-09,Northern NSW,62.6,43.9,53.4
2017-10,Northern NSW,52.4,35.9,44.5
2017-11,Northern NSW,56.3,63.9,60.6
2017-12,Northern NSW,60.7,36.7,48.8
2018-01,Northern NSW,28.9,30.1,29.6
2018-02,Northern NSW,39.0,49.9,44.7
2018-03,Northern NSW,55.0,52.8,54.0
2018-04,Northern NSW,53.0,48.3,51.1
2018-05,Northern NSW,57.6,47.4,53.0
2018-06,Northern NSW,59.5,57.7,58.9
2018-07,Northern NSW,52.9,45.4,49.2
2018-08,Northern NSW,60.1,38.7,49.7
2018-09,Northern NSW,49.6,39.0,44.6
2018-10,Northern NSW,53.3,49.2,51.3
2018-11,Northern NSW,49.4,51.4,51.0
2018-12,Northern NSW,38.2,41.7,40.2
2019-01,Northern NSW,33.4,23.3,28.6
2019-02,Northern NSW,34.9,34.4,34.9
2019-03,Northern NSW,37.7,35.4,36.7
2019-04,Northern NSW,53.8,44.9,49.6
2019-05,Northern NSW,66.3,41.6,54.0
2019-06,Northern NSW,53.1,51.5,52.7
2019-07,Northern NSW,55.8,53.1,55.1
2019-08,Northern NSW,73.7,58.1,66.3
2019-09,Northern NSW,53.8,44.3,49.1
2019-10,Northern NSW,40.6,34.1,37.5
2019-11,Northern NSW,65.6,41.0,53.7
2019-12,Northern NSW,46.2,32.3,39.5
2020-01,Northern NSW,34.1,23.7,29.1
2020-02,Northern NSW,31.1,32.6,32.0
2020-03,Northern NSW,57.6,51.0,54.4
2020-04,Northern NSW,28.9,20.2,24.6
2020-05,Northern NSW,21.3,24.0,22.8
2020-06,Northern NSW,49.7,46.4,48.1
2020-07,Northern NSW,42.7,36.9,39.8
2020-08,Northern NSW,46.0,32.8,39.8
2020-09,Northern NSW,24.9,29.9,27.7
2020-10,Northern NSW,35.3,29.0,32.3
2020-11,Northern NSW,25.1,18.7,22.1
2020-12,Northern NSW,28.4,30.1,29.4
2021-01,Northern NSW,30.6,21.7,26.3
2021-02,Northern NSW,32.6,34.1,33.5
2021-03,Northern NSW,50.8,27.4,39.3
2021-04,Northern NSW,55.7,39.9,48.0
2021-05,Northern NSW,56.9,35.9,46.6
2021-06,Northern NSW,52.4,39.7,46.3
2021-07,Northern NSW,40.7,33.7,37.4
2021-08,Northern NSW,37.7,26.7,32.4
2021-09,Northern NSW,23.8,24.0,24.1
2021-10,Northern NSW,40.9,28.7,34.9
2021-11,Northern NSW,26.4,23.3,24.9
2021-12,Northern NSW,37.7,27.3,32.8
2022-01,Northern NSW,33.6,20.7,27.4
2022-02,Northern NSW,13.9,16.9,15.6
2022-03,Northern NSW,46.4,26.0,36.3
2022-04,Northern NSW,54.1,27.8,41.2
2022-05,Northern NSW,78.6,66.7,72.9
2022-06,Northern NSW,87.1,69.5,78.7
2022-07,Northern NSW,76.5,39.7,58.6
2022-08,Northern NSW,69.3,54.2,62.4
2022-09,Northern NSW,53.0,42.7,48.3
2022-10,Northern NSW,49.8,48.8,49.9
2022-11,Northern NSW,45.1,44.2,45.0
2022-12,Northern NSW,32.3,21.9,27.5
2023-01,Northern NSW,20.2,15.5,17.8
2023-02,Northern NSW,22.4,24.6,23.3
2023-03,Northern NSW,29.3,26.4,28.1
2023-04,Northern NSW,34.3,33.2,34.0
2023-05,Northern NSW,60.5,49.4,55.1
2023-06,Northern NSW,59.6,50.0,54.9
2023-07,Northern NSW,56.41538461538462,48.04615384615385,52.33846153846154
2023-08,Northern NSW,53.23076923076923,46.09230769230769,49.776923076923076
2023-09,Northern NSW,50.04615384615384,44.13846153846154,47.215384615384615
2023-10,Northern NSW,46.86153846153846,42.184615384615384,44.65384615384615
2023-11,Northern NSW,43.676923076923075,40.23076923076923,42.09230769230769
2023-12,Northern NSW,40.49230769230769,38.276923076923076,39.53076923076923
2024-01,Northern NSW,37.30769230769231,36.323076923076925,36.96923076923077
2024-02,Northern NSW,34.12307692307692,34.36923076923077,34.40769230769231
2024-03,Northern NSW,30.93846153846154,32.41538461538462,31.846153846153847
2024-04,Northern NSW,27.753846153846155,30.461538461538463,29.284615384615385
2024-05,Northern NSW,24.56923076923077,28.50769230769231,26.723076923076924
2024-06,Northern NSW,21.38461538461538,26.553846153846155,24.161538461538463
2014-07,Northern Sydney,18.2,24.6,21.6
2014-08,Northern Sydney,21.3,24.0,22.9
2014-09,Northern Sydney,18.0,18.3,18.4
2014-10,Northern Sydney,14.9,17.8,16.5
2014-11,Northern Sydney,11.7,17.6,14.7
2014-12,Northern Sydney,14.8,22.3,18.6
2015-01,Northern Sydney,10.7,13.5,12.2
2015-02,Northern Sydney,19.5,29.5,24.7
2015-03,Northern Sydney,29.6,33.5,31.7
2015-04,Northern Sydney,23.6,29.5,26.8
2015-05,Northern Sydney,23.2,29.5,26.5
2015-06,Northern Sydney,15.4,21.8,18.6
2015-07,Northern Sydney,15.7,18.0,16.9
2015-08,Northern Sydney,18.3,22.3,20.4
2015-09,Northern Sydney,14.1,16.9,15.7
2015-10,Northern Sydney,15.8,19.0,17.5
2015-11,Northern Sydney,15.1,22.9,19.3
2015-12,Northern Sydney,16.4,19.1,17.9
2016-01,Northern Sydney,13.5,15.5,14.6
2016-02,Northern Sydney,20.9,28.9,25.0
2016-03,Northern Sydney,20.1,28.7,24.5
2016-04,Northern Sydney,14.0,20.5,17.5
2016-05,Northern Sydney,25.9,27.4,26.8
2016-06,Northern Sydney,21.0,23.8,22.6
2016-07,Northern Sydney,17.5,16.2,16.9
2016-08,Northern Sydney,19.1,18.6,19.0
2016-09,Northern Sydney,17.1,23.9,20.8
2016-10,Northern Sydney,14.4,13.8,14.3
2016-11,Northern Sydney,13.7,18.4,16.2
2016-12,Northern Sydney,17.0,18.5,17.9
2017-01,Northern Sydney,13.6,9.7,11.7
2017-02,Northern Sydney,14.4,24.1,19.4
2017-03,Northern Sydney,17.5,24.7,21.3
2017-04,Northern Sydney,21.6,22.3,22.0
2017-05,Northern Sydney,30.8,29.7,30.4
2017-06,Northern Sydney,18.3,22.8,20.7
2017-07,Northern Sydney,19.2,21.0,20.3
2017-08,Northern Sydney,18.6,17.5,18.1
2017-09,Northern Sydney,15.3,13.1,14.4
2017-10,Northern Sydney,12.8,19.8,16.5
2017-11,Northern Sydney,20.2,19.8,20.2
2017-12,Northern Sydney,15.1,14.3,14.8
2018-01,Northern Sydney,12.2,13.9,13.1
2018-02,Northern Sydney,16.4,25.1,21.0
2018-03,Northern Sydney,17.4,23.1,20.4
2018-04,Northern Sydney,12.1,12.9,12.6
2018-05,Northern Sydney,20.9,21.5,21.3
2018-06,Northern Sydney,15.0,15.0,15.1
2018-07,Northern Sydney,12.1,13.4,12.9
2018-08,Northern Sydney,11.5,12.1,11.9
2018-09,Northern Sydney,14.3,15.8,15.2
2018-10,Northern Sydney,14.2,16.8,15.7
2018-11,Northern Sydney,14.6,13.3,14.0
2018-12,Northern Sydney,11.0,17.4,14.3
2019-01,Northern Sydney,11.7,12.3,12.1
2019-02,Northern Sydney,20.9,25.3,23.3
2019-03,Northern Sydney,18.5,23.2,21.0
2019-04,Northern Sydney,20.0,25.1,22.7
2019-05,Northern Sydney,21.6,26.5,24.2
2019-06,Northern Sydney,24.4,22.1,23.4
2019-07,Northern Sydney,14.5,12.5,13.7
2019-08,Northern Sydney,14.7,21.2,18.1
2019-09,Northern Sydney,14.1,15.3,14.8
2019-10,Northern Sydney,14.7,14.8,14.9
2019-11,Northern Sydney,20.2,17.5,19.0
2019-12,Northern Sydney,24.9,20.4,22.8
2020-01,Northern Sydney,12.9,13.5,13.3
2020-02,Northern Sydney,15.7,18.9,17.4
2020-03,Northern Sydney,18.8,20.2,19.6
2020-04,Northern Sydney,6.0,5.8,5.9
2020-05,Northern Sydney,5.4,8.0,6.7
2020-06,Northern Sydney,7.4,15.9,11.8
2020-07,Northern Sydney,10.8,8.7,9.9
2020-08,Northern Sydney,11.0,12.9,12.1
2020-09,Northern Sydney,7.7,6.9,7.3
2020-10,Northern Sydney,8.2,10.9,9.6
2020-11,Northern Sydney,10.4,14.6,12.5
2020-12,Northern Sydney,9.2,11.6,10.4
2021-01,Northern Sydney,7.1,3.9,5.5
2021-02,Northern Sydney,13.1,14.8,14.1
2021-03,Northern Sydney,7.7,12.0,9.9
2021-04,Northern Sydney,14.2,17.1,15.7
2021-05,Northern Sydney,15.7,18.8,17.4
2021-06,Northern Sydney,15.0,14.8,14.9
2021-07,Northern Sydney,7.2,8.1,7.7
2021-08,Northern Sydney,7.7,5.5,6.6
2021-09,Northern Sydney,4.6,2.8,3.6
2021-10,Northern Sydney,6.4,5.6,6.0
2021-11,Northern Sydney,5.6,9.1,7.5
2021-12,Northern Sydney,7.2,4.5,5.8
2022-01,Northern Sydney,6.2,4.2,5.2
2022-02,Northern Sydney,7.4,11.0,9.3
2022-03,Northern Sydney,13.2,15.0,14.1
2022-04,Northern Sydney,16.1,19.3,17.8
2022-05,Northern Sydney,24.2,30.3,27.5
2022-06,Northern Sydney,12.8,14.8,13.9
2022-07,Northern Sydney,12.5,9.4,11.0
2022-08,Northern Sydney,17.4,18.4,18.0
2022-09,Northern Sydney,16.9,15.4,16.3
2022-10,Northern Sydney,11.4,15.9,13.7
2022-11,Northern Sydney,12.0,9.5,10.8
2022-12,Northern Sydney,11.8,10.4,11.2
2023-01,Northern Sydney,9.0,8.9,8.9
2023-02,Northern Sydney,12.6,19.2,16.0
2023-03,Northern Sydney,9.1,17.8,13.5
2023-04,Northern Sydney,9.8,11.7,10.8
2023-05,Northern Sydney,15.9,14.8,15.4
2023-06,Northern Sydney,8.7,12.4,10.6
2023-07,Northern Sydney,9.93076923076923,12.96923076923077,11.507692307692308
2023-08,Northern Sydney,11.161538461538461,13.538461538461538,12.415384615384614
2023-09,Northern Sydney,12.392307692307693,14.107692307692307,13.323076923076922
2023-10,Northern Sydney,13.623076923076923,14.676923076923078,14.23076923076923
2023-11,Northern Sydney,14.853846153846153,15.246153846153845,15.138461538461538
2023-12,Northern Sydney,16.084615384615383,15.815384615384616,16.046153846153846
2024-01,Northern Sydney,17.315384615384616,16.384615384615387,16.95384615384615
2024-02,Northern Sydney,18.546153846153846,16.953846153846154,17.86153846153846
2024-03,Northern Sydney,19.776923076923076,17.52307692307692,18.769230769230766
2024-04,Northern Sydney,21.00769230769231,18.092307692307692,19.676923076923075
2024-05,Northern Sydney,22.23846153846154,18.661538461538463,20.584615384615383
2024-06,Northern Sydney,23.46923076923077,19.23076923076923,21.49230769230769
2014-07,South Eastern Sydney,24.7,19.8,22.4
2014-08,South Eastern Sydney,27.6,21.5,24.7
2014-09,South Eastern Sydney,22.6,18.3,20.6
2014-10,South Eastern Sydney,15.9,20.1,18.1
2014-11,South Eastern Sydney,21.1,21.1,21.2
2014-12,South Eastern Sydney,24.0,30.8,27.6
2015-01,South Eastern Sydney,12.2,13.7,13.1
2015-02,South Eastern Sydney,20.3,30.7,25.6
2015-03,South Eastern Sydney,26.2,36.8,31.8
2015-04,South Eastern Sydney,24.5,26.0,25.3
2015-05,South Eastern Sydney,28.8,37.9,33.6
2015-06,South Eastern Sydney,31.0,30.8,31.1
2015-07,South Eastern Sydney,26.7,28.0,27.4
2015-08,South Eastern Sydney,24.4,24.5,24.6
2015-09,South Eastern Sydney,15.8,19.5,17.8
2015-10,South Eastern Sydney,17.0,20.1,18.7
2015-11,South Eastern Sydney,19.4,26.9,23.3
2015-12,South Eastern Sydney,13.0,16.9,15.1
2016-01,South Eastern Sydney,16.7,14.3,15.5
2016-02,South Eastern Sydney,26.5,26.0,26.3
2016-03,South Eastern Sydney,21.8,25.5,23.8
2016-04,South Eastern Sydney,21.6,21.6,21.7
2016-05,South Eastern Sydney,26.5,27.0,26.9
2016-06,South Eastern Sydney,23.2,23.6,23.5
2016-07,South Eastern Sydney,16.3,19.0,17.8
2016-08,South Eastern Sydney,23.6,23.4,23.6
2016-09,South Eastern Sydney,21.8,18.8,20.5
2016-10,South Eastern Sydney,15.9,15.7,15.9
2016-11,South Eastern Sydney,16.1,19.2,17.8
2016-12,South Eastern Sydney,17.4,20.4,19.0
2017-01,South Eastern Sydney,13.6,13.8,13.8
2017-02,South Eastern Sydney,20.7,31.7,26.4
2017-03,South Eastern Sydney,24.0,28.3,26.3
2017-04,South Eastern Sydney,22.6,27.8,25.3
2017-05,South Eastern Sydney,32.1,31.3,31.9
2017-06,South Eastern Sydney,25.3,19.1,22.2
2017-07,South Eastern Sydney,23.7,17.8,20.8
2017-08,South Eastern Sydney,22.5,17.3,20.0
2017-09,South Eastern Sydney,15.8,17.6,16.8
2017-10,South Eastern Sydney,16.2,18.5,17.4
2017-11,South Eastern Sydney,14.5,16.3,15.5
2017-12,South Eastern Sydney,14.2,18.3,16.3
2018-01,South Eastern Sydney,11.4,14.9,13.2
2018-02,South Eastern Sydney,20.0,24.4,22.3
2018-03,South Eastern Sydney,15.2,24.3,20.0
2018-04,South Eastern Sydney,20.9,20.4,20.8
2018-05,South Eastern Sydney,24.4,23.7,24.1
2018-06,South Eastern Sydney,17.5,21.3,19.6
2018-07,South Eastern Sydney,24.4,17.2,20.9
2018-08,South Eastern Sydney,19.7,16.4,18.1
2018-09,South Eastern Sydney,17.4,16.0,16.7
2018-10,South Eastern Sydney,15.7,21.5,18.8
2018-11,South Eastern Sydney,19.2,22.9,21.3
2018-12,South Eastern Sydney,17.8,15.4,16.6
2019-01,South Eastern Sydney,12.9,14.3,13.7
2019-02,South Eastern Sydney,19.9,25.7,23.0
2019-03,South Eastern Sydney,23.0,22.0,22.6
2019-04,South Eastern Sydney,22.8,21.8,22.4
2019-05,South Eastern Sydney,24.3,24.5,24.5
2019-06,South Eastern Sydney,23.7,20.3,22.1
2019-07,South Eastern Sydney,21.9,19.4,20.8
2019-08,South Eastern Sydney,24.5,23.3,23.9
2019-09,South Eastern Sydney,19.2,19.1,19.3
2019-10,South Eastern Sydney,14.1,10.3,12.3
2019-11,South Eastern Sydney,23.4,21.8,22.7
2019-12,South Eastern Sydney,29.7,24.7,27.2
2020-01,South Eastern Sydney,17.8,12.9,15.4
2020-02,South Eastern Sydney,19.8,18.4,19.2
2020-03,South Eastern Sydney,21.5,23.4,22.5
2020-04,South Eastern Sydney,9.2,8.3,8.8
2020-05,South Eastern Sydney,10.1,7.3,8.8
2020-06,South Eastern Sydney,20.0,17.2,18.5
2020-07,South Eastern Sydney,12.2,11.5,11.9
