acute respiratory infection,sex,lhd,financial year,"rate per 100,000 population"
Influenza and pneumonia,Females,Central Coast,2014/2015,269
Influenza and pneumonia,Females,Central Coast,2015/2016,298.5
Influenza and pneumonia,Females,Central Coast,2016/2017,260.3
Influenza and pneumonia,Females,Central Coast,2017/2018,343.6
Influenza and pneumonia,Females,Central Coast,2018/2019,339.6
Influenza and pneumonia,Females,Central Coast,2019/2020,336.9
Influenza and pneumonia,Females,Central Coast,2020/2021,185.3
Influenza and pneumonia,Females,Hunter New England,2001/2002,249.6
Influenza and pneumonia,Females,Hunter New England,2002/2003,277.4
Influenza and pneumonia,Females,Hunter New England,2003/2004,273.1
Influenza and pneumonia,Females,Hunter New England,2004/2005,272.5
Influenza and pneumonia,Females,Hunter New England,2005/2006,238.6
Influenza and pneumonia,Females,Hunter New England,2006/2007,227.3
Influenza and pneumonia,Females,Hunter New England,2007/2008,265.7
Influenza and pneumonia,Females,Hunter New England,2008/2009,229.7
Influenza and pneumonia,Females,Hunter New England,2009/2010,248.2
Influenza and pneumonia,Females,Hunter New England,2010/2011,270.2
Influenza and pneumonia,Females,Hunter New England,2011/2012,262
Influenza and pneumonia,Females,Hunter New England,2012/2013,228.4
Influenza and pneumonia,Females,Hunter New England,2013/2014,240.5
Influenza and pneumonia,Females,Hunter New England,2014/2015,317.4
Influenza and pneumonia,Females,Hunter New England,2015/2016,312.2
Influenza and pneumonia,Females,Hunter New England,2016/2017,344.5
Influenza and pneumonia,Females,Hunter New England,2017/2018,398.8
Influenza and pneumonia,Females,Hunter New England,2018/2019,341.7
Influenza and pneumonia,Females,Hunter New England,2019/2020,325.8
Influenza and pneumonia,Females,Hunter New England,2020/2021,193.2
Influenza and pneumonia,Females,Northern NSW,2001/2002,288.3
Influenza and pneumonia,Females,Northern NSW,2002/2003,318.4
Influenza and pneumonia,Females,Northern NSW,2003/2004,257
Influenza and pneumonia,Females,Northern NSW,2004/2005,242.2
Influenza and pneumonia,Females,Northern NSW,2005/2006,251.2
Influenza and pneumonia,Females,Northern NSW,2006/2007,235.6
Influenza and pneumonia,Females,Northern NSW,2007/2008,278.8
Influenza and pneumonia,Females,Northern NSW,2008/2009,291.2
Influenza and pneumonia,Females,Northern NSW,2009/2010,265.5
Influenza and pneumonia,Females,Northern NSW,2010/2011,233.1
Influenza and pneumonia,Females,Northern NSW,2011/2012,269.2
Influenza and pneumonia,Females,Northern NSW,2012/2013,245.6
Influenza and pneumonia,Females,Northern NSW,2013/2014,224.4
Influenza and pneumonia,Females,Northern NSW,2014/2015,291.9
Influenza and pneumonia,Females,Northern NSW,2015/2016,303.2
Influenza and pneumonia,Females,Northern NSW,2016/2017,273.4
Influenza and pneumonia,Females,Northern NSW,2017/2018,358.9
Influenza and pneumonia,Females,Northern NSW,2018/2019,344.3
Influenza and pneumonia,Females,Northern NSW,2019/2020,383.1
Influenza and pneumonia,Females,Northern NSW,2020/2021,190.4
Influenza and pneumonia,Females,Mid North Coast,2001/2002,301.8
Influenza and pneumonia,Females,Mid North Coast,2002/2003,332.7
Influenza and pneumonia,Females,Mid North Coast,2003/2004,365
Influenza and pneumonia,Females,Mid North Coast,2004/2005,337.4
Influenza and pneumonia,Females,Mid North Coast,2005/2006,280.8
Influenza and pneumonia,Females,Mid North Coast,2006/2007,278.4
Influenza and pneumonia,Females,Mid North Coast,2007/2008,339.7
Influenza and pneumonia,Females,Mid North Coast,2008/2009,357.1
Influenza and pneumonia,Females,Mid North Coast,2009/2010,319
Influenza and pneumonia,Females,Mid North Coast,2010/2011,292.9
Influenza and pneumonia,Females,Mid North Coast,2011/2012,300.6
Influenza and pneumonia,Females,Mid North Coast,2012/2013,329.4
Influenza and pneumonia,Females,Mid North Coast,2013/2014,277.9
Influenza and pneumonia,Females,Mid North Coast,2014/2015,342.3
Influenza and pneumonia,Females,Mid North Coast,2015/2016,357
Influenza and pneumonia,Females,Mid North Coast,2016/2017,298.2
Influenza and pneumonia,Females,Mid North Coast,2017/2018,355.7
Influenza and pneumonia,Females,Mid North Coast,2018/2019,342.1
Influenza and pneumonia,Females,Mid North Coast,2019/2020,341.3
Influenza and pneumonia,Females,Mid North Coast,2020/2021,243.3
Influenza and pneumonia,Females,Southern NSW,2001/2002,271.7
Influenza and pneumonia,Females,Southern NSW,2002/2003,299.9
Influenza and pneumonia,Females,Southern NSW,2003/2004,292.5
Influenza and pneumonia,Females,Southern NSW,2004/2005,275.5
Influenza and pneumonia,Females,Southern NSW,2005/2006,238.2
Influenza and pneumonia,Females,Southern NSW,2006/2007,249.4
Influenza and pneumonia,Females,Southern NSW,2007/2008,303.6
Influenza and pneumonia,Females,Southern NSW,2008/2009,317
Influenza and pneumonia,Females,Southern NSW,2009/2010,299.7
Influenza and pneumonia,Females,Southern NSW,2010/2011,395.9
Influenza and pneumonia,Females,Southern NSW,2011/2012,313.1
Influenza and pneumonia,Females,Southern NSW,2012/2013,296.5
Influenza and pneumonia,Females,Southern NSW,2013/2014,278.1
Influenza and pneumonia,Females,Southern NSW,2014/2015,315.8
Influenza and pneumonia,Females,Southern NSW,2015/2016,347.7
Influenza and pneumonia,Females,Southern NSW,2016/2017,391.8
Influenza and pneumonia,Females,Southern NSW,2017/2018,440
Influenza and pneumonia,Females,Southern NSW,2018/2019,383.7
Influenza and pneumonia,Females,Southern NSW,2019/2020,344
Influenza and pneumonia,Females,Southern NSW,2020/2021,255.7
Influenza and pneumonia,Females,Murrumbidgee,2001/2002,333.3
Influenza and pneumonia,Females,Murrumbidgee,2002/2003,368
Influenza and pneumonia,Females,Murrumbidgee,2003/2004,401.5
Influenza and pneumonia,Females,Murrumbidgee,2004/2005,369.5
Influenza and pneumonia,Females,Murrumbidgee,2005/2006,357.2
Influenza and pneumonia,Females,Murrumbidgee,2006/2007,327
Influenza and pneumonia,Females,Murrumbidgee,2007/2008,400.6
Influenza and pneumonia,Females,Murrumbidgee,2008/2009,374.6
Influenza and pneumonia,Females,Murrumbidgee,2009/2010,352.8
Influenza and pneumonia,Females,Murrumbidgee,2010/2011,433.8
Influenza and pneumonia,Females,Murrumbidgee,2011/2012,345.9
Influenza and pneumonia,Females,Murrumbidgee,2012/2013,340.5
Influenza and pneumonia,Females,Murrumbidgee,2013/2014,342.3
Influenza and pneumonia,Females,Murrumbidgee,2014/2015,403.3
Influenza and pneumonia,Females,Murrumbidgee,2015/2016,436.5
Influenza and pneumonia,Females,Murrumbidgee,2016/2017,470.3
Influenza and pneumonia,Females,Murrumbidgee,2017/2018,498.7
Influenza and pneumonia,Females,Murrumbidgee,2018/2019,487.7
Influenza and pneumonia,Females,Murrumbidgee,2019/2020,479.1
Influenza and pneumonia,Females,Murrumbidgee,2020/2021,262.2
Influenza and pneumonia,Females,Western NSW,2001/2002,438.9
Influenza and pneumonia,Females,Western NSW,2002/2003,465.9
Influenza and pneumonia,Females,Western NSW,2003/2004,478
Influenza and pneumonia,Females,Western NSW,2004/2005,404.8
Influenza and pneumonia,Females,Western NSW,2005/2006,457.2
Influenza and pneumonia,Females,Western NSW,2006/2007,344.8
Influenza and pneumonia,Females,Western NSW,2007/2008,444.3
Influenza and pneumonia,Females,Western NSW,2008/2009,437
Influenza and pneumonia,Females,Western NSW,2009/2010,408
Influenza and pneumonia,Females,Western NSW,2010/2011,491.8
Influenza and pneumonia,Females,Western NSW,2011/2012,429
Influenza and pneumonia,Females,Western NSW,2012/2013,369.9
Influenza and pneumonia,Females,Western NSW,2013/2014,385.5
Influenza and pneumonia,Females,Western NSW,2014/2015,398
Influenza and pneumonia,Females,Western NSW,2015/2016,451.6
Influenza and pneumonia,Females,Western NSW,2016/2017,490.2
Influenza and pneumonia,Females,Western NSW,2017/2018,476.2
Influenza and pneumonia,Females,Western NSW,2018/2019,463.4
Influenza and pneumonia,Females,Western NSW,2019/2020,435.9
Influenza and pneumonia,Females,Western NSW,2020/2021,289.3
Other acute respiratory infection,Males,Sydney,2001/2002,238.5
Other acute respiratory infection,Males,Sydney,2002/2003,232.7
Other acute respiratory infection,Males,Sydney,2003/2004,243.3
Other acute respiratory infection,Males,Sydney,2004/2005,211.4
Other acute respiratory infection,Males,Sydney,2005/2006,214.4
Other acute respiratory infection,Males,Sydney,2006/2007,255.3
Other acute respiratory infection,Males,Sydney,2007/2008,264.9
Other acute respiratory infection,Males,Sydney,2008/2009,275.9
Other acute respiratory infection,Males,Sydney,2009/2010,272.5
Other acute respiratory infection,Males,Sydney,2010/2011,260.9
Other acute respiratory infection,Males,Sydney,2011/2012,276.8
Other acute respiratory infection,Males,Sydney,2012/2013,269.1
Other acute respiratory infection,Males,Sydney,2013/2014,294.1
Other acute respiratory infection,Males,Sydney,2014/2015,276.2
Other acute respiratory infection,Males,Sydney,2015/2016,313.4
Other acute respiratory infection,Males,Sydney,2016/2017,279.5
Other acute respiratory infection,Males,Sydney,2017/2018,294.9
Other acute respiratory infection,Males,Sydney,2018/2019,308.1
Other acute respiratory infection,Males,Sydney,2019/2020,221.6
Other acute respiratory infection,Males,Sydney,2020/2021,193.1
Other acute respiratory infection,Males,South Western Sydney,2001/2002,252.7
Other acute respiratory infection,Males,South Western Sydney,2002/2003,259.3
Other acute respiratory infection,Males,South Western Sydney,2003/2004,282.4
Other acute respiratory infection,Males,South Western Sydney,2004/2005,274.9
Other acute respiratory infection,Males,South Western Sydney,2005/2006,294.4
Other acute respiratory infection,Males,South Western Sydney,2006/2007,328
Other acute respiratory infection,Males,South Western Sydney,2007/2008,365.8
Other acute respiratory infection,Males,South Western Sydney,2008/2009,331.8
Other acute respiratory infection,Males,South Western Sydney,2009/2010,342.9
Other acute respiratory infection,Males,South Western Sydney,2010/2011,373.6
Other acute respiratory infection,Males,South Western Sydney,2011/2012,422.4
Other acute respiratory infection,Males,South Western Sydney,2012/2013,427.3
Other acute respiratory infection,Males,South Western Sydney,2013/2014,428.3
Other acute respiratory infection,Males,South Western Sydney,2014/2015,441.7
Other acute respiratory infection,Males,South Western Sydney,2015/2016,421.9
Other acute respiratory infection,Males,South Western Sydney,2016/2017,464.1
Other acute respiratory infection,Males,South Western Sydney,2017/2018,481.7
Other acute respiratory infection,Males,South Western Sydney,2018/2019,514.1
Other acute respiratory infection,Males,South Western Sydney,2019/2020,413.5
Other acute respiratory infection,Males,South Western Sydney,2020/2021,354.2
Other acute respiratory infection,Males,South Eastern Sydney,2001/2002,186.2
Other acute respiratory infection,Males,South Eastern Sydney,2002/2003,179.2
Other acute respiratory infection,Males,South Eastern Sydney,2003/2004,190
Other acute respiratory infection,Males,South Eastern Sydney,2004/2005,222.8
Other acute respiratory infection,Males,South Eastern Sydney,2005/2006,246.3
Other acute respiratory infection,Males,South Eastern Sydney,2006/2007,242.7
Other acute respiratory infection,Males,South Eastern Sydney,2007/2008,269.6
Other acute respiratory infection,Males,South Eastern Sydney,2008/2009,250.9
Other acute respiratory infection,Males,South Eastern Sydney,2009/2010,231.1
Other acute respiratory infection,Males,South Eastern Sydney,2010/2011,260.8
Other acute respiratory infection,Males,South Eastern Sydney,2011/2012,260
Other acute respiratory infection,Males,South Eastern Sydney,2012/2013,260.9
Other acute respiratory infection,Males,South Eastern Sydney,2013/2014,266.5
Other acute respiratory infection,Males,South Eastern Sydney,2014/2015,261
Other acute respiratory infection,Males,South Eastern Sydney,2015/2016,248.3
Other acute respiratory infection,Males,South Eastern Sydney,2016/2017,243.9
Other acute respiratory infection,Males,South Eastern Sydney,2017/2018,225.6
Other acute respiratory infection,Males,South Eastern Sydney,2018/2019,266.1
Other acute respiratory infection,Males,South Eastern Sydney,2019/2020,230.9
Other acute respiratory infection,Males,South Eastern Sydney,2020/2021,191.9
Other acute respiratory infection,Males,Illawarra Shoalhaven,2001/2002,236.9
Other acute respiratory infection,Males,Illawarra Shoalhaven,2002/2003,201.6
Other acute respiratory infection,Males,Illawarra Shoalhaven,2003/2004,228.1
Other acute respiratory infection,Males,Illawarra Shoalhaven,2004/2005,211.8
Other acute respiratory infection,Males,Illawarra Shoalhaven,2005/2006,246.2
Other acute respiratory infection,Males,Illawarra Shoalhaven,2006/2007,259.4
Other acute respiratory infection,Males,Illawarra Shoalhaven,2007/2008,285.5
Other acute respiratory infection,Males,Illawarra Shoalhaven,2008/2009,270.5
Other acute respiratory infection,Males,Illawarra Shoalhaven,2009/2010,235.3
Other acute respiratory infection,Males,Illawarra Shoalhaven,2010/2011,236.4
Other acute respiratory infection,Males,Illawarra Shoalhaven,2011/2012,237.7
Other acute respiratory infection,Males,Illawarra Shoalhaven,2012/2013,199
Other acute respiratory infection,Males,Illawarra Shoalhaven,2013/2014,204.3
Other acute respiratory infection,Males,Illawarra Shoalhaven,2014/2015,238.3
Other acute respiratory infection,Males,Illawarra Shoalhaven,2015/2016,197.4
Other acute respiratory infection,Males,Illawarra Shoalhaven,2016/2017,231.3
Other acute respiratory infection,Males,Illawarra Shoalhaven,2017/2018,210.5
Other acute respiratory infection,Males,Illawarra Shoalhaven,2018/2019,232.8
Other acute respiratory infection,Males,Illawarra Shoalhaven,2019/2020,196.2
Other acute respiratory infection,Males,Illawarra Shoalhaven,2020/2021,180.1
Other acute respiratory infection,Males,Western Sydney,2001/2002,220.8
Other acute respiratory infection,Males,Western Sydney,2002/2003,198.3
Other acute respiratory infection,Males,Western Sydney,2003/2004,210.8
Other acute respiratory infection,Males,Western Sydney,2004/2005,187
Other acute respiratory infection,Males,Western Sydney,2005/2006,198.5
Other acute respiratory infection,Males,Western Sydney,2006/2007,227.2
Other acute respiratory infection,Males,Western Sydney,2007/2008,277.2
Other acute respiratory infection,Males,Western Sydney,2008/2009,236.9
Other acute respiratory infection,Males,Western Sydney,2009/2010,239.9
Other acute respiratory infection,Males,Western Sydney,2010/2011,242.8
Other acute respiratory infection,Males,Western Sydney,2011/2012,260.1
Other acute respiratory infection,Males,Western Sydney,2012/2013,307
Other acute respiratory infection,Males,Western Sydney,2013/2014,325.5
Other acute respiratory infection,Males,Western Sydney,2014/2015,340.1
Other acute respiratory infection,Males,Western Sydney,2015/2016,318
Other acute respiratory infection,Males,Western Sydney,2016/2017,345.4
Other acute respiratory infection,Males,Western Sydney,2017/2018,334.3
Other acute respiratory infection,Males,Western Sydney,2018/2019,378.7
Other acute respiratory infection,Males,Western Sydney,2019/2020,300.2
Other acute respiratory infection,Males,Western Sydney,2020/2021,365.3
Other acute respiratory infection,Males,Nepean Blue Mountains,2001/2002,340.5
Other acute respiratory infection,Males,Nepean Blue Mountains,2002/2003,292
Other acute respiratory infection,Males,Nepean Blue Mountains,2003/2004,303.9
Other acute respiratory infection,Males,Nepean Blue Mountains,2004/2005,345.2
Other acute respiratory infection,Males,Nepean Blue Mountains,2005/2006,367.8
Other acute respiratory infection,Males,Nepean Blue Mountains,2006/2007,372.8
Other acute respiratory infection,Males,Nepean Blue Mountains,2007/2008,475
Other acute respiratory infection,Males,Nepean Blue Mountains,2008/2009,410.2
Other acute respiratory infection,Males,Nepean Blue Mountains,2009/2010,365.5
Other acute respiratory infection,Males,Nepean Blue Mountains,2010/2011,390.8
Other acute respiratory infection,Males,Nepean Blue Mountains,2011/2012,358
Other acute respiratory infection,Males,Nepean Blue Mountains,2012/2013,431.3
Other acute respiratory infection,Males,Nepean Blue Mountains,2013/2014,430.4
Other acute respiratory infection,Males,Nepean Blue Mountains,2014/2015,385.3
Other acute respiratory infection,Males,Nepean Blue Mountains,2015/2016,396.2
Other acute respiratory infection,Males,Nepean Blue Mountains,2016/2017,402.5
Other acute respiratory infection,Males,Nepean Blue Mountains,2017/2018,472.4
Other acute respiratory infection,Males,Nepean Blue Mountains,2018/2019,486.9
Other acute respiratory infection,Males,Nepean Blue Mountains,2019/2020,384.6
Other acute respiratory infection,Males,Nepean Blue Mountains,2020/2021,348.4
Other acute respiratory infection,Males,Northern Sydney,2001/2002,199.9
Other acute respiratory infection,Males,Northern Sydney,2002/2003,174
Other acute respiratory infection,Males,Northern Sydney,2003/2004,171.4
Other acute respiratory infection,Males,Northern Sydney,2004/2005,189.4
Other acute respiratory infection,Males,Northern Sydney,2005/2006,191.1
Other acute respiratory infection,Males,Northern Sydney,2006/2007,236.1
Other acute respiratory infection,Males,Northern Sydney,2007/2008,217.9
Other acute respiratory infection,Males,Northern Sydney,2008/2009,234.3
Other acute respiratory infection,Males,Northern Sydney,2009/2010,220.8
Other acute respiratory infection,Males,Northern Sydney,2010/2011,260.9
Other acute respiratory infection,Males,Northern Sydney,2011/2012,249.9
Other acute respiratory infection,Males,Northern Sydney,2012/2013,244.8
Other acute respiratory infection,Males,Northern Sydney,2013/2014,232.3
Other acute respiratory infection,Males,Northern Sydney,2014/2015,258.5
Other acute respiratory infection,Males,Northern Sydney,2015/2016,279.5
Other acute respiratory infection,Males,Northern Sydney,2016/2017,261.1
Other acute respiratory infection,Males,Northern Sydney,2017/2018,260.4
Other acute respiratory infection,Males,Northern Sydney,2018/2019,300.9
Other acute respiratory infection,Males,Northern Sydney,2019/2020,235.3
Other acute respiratory infection,Males,Northern Sydney,2020/2021,189.3
Other acute respiratory infection,Males,Central Coast,2001/2002,227.2
Other acute respiratory infection,Males,Central Coast,2002/2003,246.5
Other acute respiratory infection,Males,Central Coast,2003/2004,247
Other acute respiratory infection,Males,Central Coast,2004/2005,258.7
Other acute respiratory infection,Males,Central Coast,2005/2006,266.4
Other acute respiratory infection,Males,Central Coast,2006/2007,281.1
Other acute respiratory infection,Males,Central Coast,2007/2008,302.7
Other acute respiratory infection,Males,Central Coast,2008/2009,265.5
Other acute respiratory infection,Males,Central Coast,2009/2010,287.4
Other acute respiratory infection,Males,Central Coast,2010/2011,269.4
Other acute respiratory infection,Males,Central Coast,2011/2012,272.4
Other acute respiratory infection,Males,Central Coast,2012/2013,271.9
Other acute respiratory infection,Males,Central Coast,2013/2014,291.3
Other acute respiratory infection,Males,Central Coast,2014/2015,337.2
Other acute respiratory infection,Males,Central Coast,2015/2016,367.2
Other acute respiratory infection,Males,Central Coast,2016/2017,324.3
Other acute respiratory infection,Males,Central Coast,2017/2018,337.9
Other acute respiratory infection,Males,Central Coast,2018/2019,349.2
Other acute respiratory infection,Males,Central Coast,2019/2020,285.8
Other acute respiratory infection,Males,Central Coast,2020/2021,290.2
Other acute respiratory infection,Males,Hunter New England,2001/2002,358.9
Other acute respiratory infection,Males,Hunter New England,2002/2003,344
Other acute respiratory infection,Males,Hunter New England,2003/2004,333.6
Other acute respiratory infection,Males,Hunter New England,2004/2005,320.7
Other acute respiratory infection,Males,Hunter New England,2005/2006,353
Other acute respiratory infection,Males,Hunter New England,2006/2007,313.1
Other acute respiratory infection,Males,Hunter New England,2007/2008,361.4
Other acute respiratory infection,Males,Hunter New England,2008/2009,330.5
Other acute respiratory infection,Males,Hunter New England,2009/2010,314.5
Other acute respiratory infection,Males,Hunter New England,2010/2011,317.5
Other acute respiratory infection,Males,Hunter New England,2011/2012,326.3
Other acute respiratory infection,Males,Hunter New England,2012/2013,333.8
Other acute respiratory infection,Males,Hunter New England,2013/2014,332.4
Other acute respiratory infection,Males,Hunter New England,2014/2015,329.9
Other acute respiratory infection,Males,Hunter New England,2015/2016,308.7
Other acute respiratory infection,Males,Hunter New England,2016/2017,367.5
Other acute respiratory infection,Males,Hunter New England,2017/2018,335
Other acute respiratory infection,Males,Hunter New England,2018/2019,340.2
Other acute respiratory infection,Males,Hunter New England,2019/2020,263.7
Other acute respiratory infection,Males,Hunter New England,2020/2021,222.1
Other acute respiratory infection,Males,Northern NSW,2001/2002,418.5
Other acute respiratory infection,Males,Northern NSW,2002/2003,450.2
Other acute respiratory infection,Males,Northern NSW,2003/2004,434.6
Other acute respiratory infection,Males,Northern NSW,2004/2005,399.6
Other acute respiratory infection,Males,Northern NSW,2005/2006,447.2
Other acute respiratory infection,Males,Northern NSW,2006/2007,446.6
Other acute respiratory infection,Males,Northern NSW,2007/2008,479.3
Other acute respiratory infection,Males,Northern NSW,2008/2009,512.7
Other acute respiratory infection,Males,Northern NSW,2009/2010,525.9
Other acute respiratory infection,Males,Northern NSW,2010/2011,476.1
Other acute respiratory infection,Males,Northern NSW,2011/2012,464.9
Other acute respiratory infection,Males,Northern NSW,2012/2013,398
Other acute respiratory infection,Males,Northern NSW,2013/2014,426.8
Other acute respiratory infection,Males,Northern NSW,2014/2015,440.8
Other acute respiratory infection,Males,Northern NSW,2015/2016,427.8
Other acute respiratory infection,Males,Northern NSW,2016/2017,426.3
Other acute respiratory infection,Males,Northern NSW,2017/2018,459.3
Other acute respiratory infection,Males,Northern NSW,2018/2019,450.5
Other acute respiratory infection,Males,Northern NSW,2019/2020,355.9
Other acute respiratory infection,Males,Northern NSW,2020/2021,299.2
Other acute respiratory infection,Males,Mid North Coast,2001/2002,455.8
Other acute respiratory infection,Males,Mid North Coast,2002/2003,448.3
Other acute respiratory infection,Males,Mid North Coast,2003/2004,489.6
Other acute respiratory infection,Males,Mid North Coast,2004/2005,392.8
Other acute respiratory infection,Males,Mid North Coast,2005/2006,382.8
Other acute respiratory infection,Males,Mid North Coast,2006/2007,352.4
Other acute respiratory infection,Males,Mid North Coast,2007/2008,444.4
Other acute respiratory infection,Males,Mid North Coast,2008/2009,412.1
Other acute respiratory infection,Males,Mid North Coast,2009/2010,412.2
Other acute respiratory infection,Males,Mid North Coast,2010/2011,364.7
Other acute respiratory infection,Males,Mid North Coast,2011/2012,372.9
Other acute respiratory infection,Males,Mid North Coast,2012/2013,320.7
Other acute respiratory infection,Males,Mid North Coast,2013/2014,336.7
Other acute respiratory infection,Males,Mid North Coast,2014/2015,321.9
Other acute respiratory infection,Males,Mid North Coast,2015/2016,325.3
Other acute respiratory infection,Males,Mid North Coast,2016/2017,418.5
Other acute respiratory infection,Males,Mid North Coast,2017/2018,334.4
Other acute respiratory infection,Males,Mid North Coast,2018/2019,383.3
Other acute respiratory infection,Males,Mid North Coast,2019/2020,295
Other acute respiratory infection,Males,Mid North Coast,2020/2021,243.4
Other acute respiratory infection,Males,Southern NSW,2001/2002,460.9
Other acute respiratory infection,Males,Southern NSW,2002/2003,343.6
Other acute respiratory infection,Males,Southern NSW,2003/2004,363
Other acute respiratory infection,Males,Southern NSW,2004/2005,351
Other acute respiratory infection,Males,Southern NSW,2005/2006,380.1
Other acute respiratory infection,Males,Southern NSW,2006/2007,355.6
Other acute respiratory infection,Males,Southern NSW,2007/2008,329.7
Other acute respiratory infection,Males,Southern NSW,2008/2009,344.3
Other acute respiratory infection,Males,Southern NSW,2009/2010,370.4
Other acute respiratory infection,Males,Southern NSW,2010/2011,385.7
Other acute respiratory infection,Males,Southern NSW,2011/2012,424.6
Other acute respiratory infection,Males,Southern NSW,2012/2013,323.1
Other acute respiratory infection,Males,Southern NSW,2013/2014,393.1
Other acute respiratory infection,Males,Southern NSW,2014/2015,302.4
Other acute respiratory infection,Males,Southern NSW,2015/2016,357.8
Other acute respiratory infection,Males,Southern NSW,2016/2017,394.1
Other acute respiratory infection,Males,Southern NSW,2017/2018,342.2
Other acute respiratory infection,Males,Southern NSW,2018/2019,403.5
Other acute respiratory infection,Males,Southern NSW,2019/2020,259.6
Other acute respiratory infection,Males,Southern NSW,2020/2021,238.9
Other acute respiratory infection,Males,Murrumbidgee,2001/2002,583.7
Other acute respiratory infection,Males,Murrumbidgee,2002/2003,525.8
Other acute respiratory infection,Males,Murrumbidgee,2003/2004,493.5
Other acute respiratory infection,Males,Murrumbidgee,2004/2005,504.7
Other acute respiratory infection,Males,Murrumbidgee,2005/2006,560.9
Other acute respiratory infection,Males,Murrumbidgee,2006/2007,461.2
Other acute respiratory infection,Males,Murrumbidgee,2007/2008,574.6
Other acute respiratory infection,Males,Murrumbidgee,2008/2009,532.4
Other acute respiratory infection,Males,Murrumbidgee,2009/2010,496.5
Other acute respiratory infection,Males,Murrumbidgee,2010/2011,441.9
Other acute respiratory infection,Males,Murrumbidgee,2011/2012,538.7
Other acute respiratory infection,Males,Murrumbidgee,2012/2013,466.1
Other acute respiratory infection,Males,Murrumbidgee,2013/2014,512.3
Other acute respiratory infection,Males,Murrumbidgee,2014/2015,466.6
Other acute respiratory infection,Males,Murrumbidgee,2015/2016,491
Other acute respiratory infection,Males,Murrumbidgee,2016/2017,539.7
Other acute respiratory infection,Males,Murrumbidgee,2017/2018,578
Other acute respiratory infection,Males,Murrumbidgee,2018/2019,643.6
Other acute respiratory infection,Males,Murrumbidgee,2019/2020,441.8
Other acute respiratory infection,Males,Murrumbidgee,2020/2021,386.1
Other acute respiratory infection,Males,Western NSW,2001/2002,678.8
Other acute respiratory infection,Males,Western NSW,2002/2003,614.2
Other acute respiratory infection,Males,Western NSW,2003/2004,670.1
Other acute respiratory infection,Males,Western NSW,2004/2005,566.1
Other acute respiratory infection,Males,Western NSW,2005/2006,613.2
Other acute respiratory infection,Males,Western NSW,2006/2007,571.4
Other acute respiratory infection,Males,Western NSW,2007/2008,654.7
Other acute respiratory infection,Males,Western NSW,2008/2009,518.1
Other acute respiratory infection,Males,Western NSW,2009/2010,520.2
Other acute respiratory infection,Males,Western NSW,2010/2011,502.8
Other acute respiratory infection,Males,Western NSW,2011/2012,509.4
Other acute respiratory infection,Males,Western NSW,2012/2013,505.6
Other acute respiratory infection,Males,Western NSW,2013/2014,496.4
Other acute respiratory infection,Males,Western NSW,2014/2015,498.9
Other acute respiratory infection,Males,Western NSW,2015/2016,490.9
Other acute respiratory infection,Males,Western NSW,2016/2017,525.6
Other acute respiratory infection,Males,Western NSW,2017/2018,523.8
Other acute respiratory infection,Males,Western NSW,2018/2019,598.4
Other acute respiratory infection,Males,Western NSW,2019/2020,490.1
Other acute respiratory infection,Males,Western NSW,2020/2021,338.3
Other acute respiratory infection,Females,Sydney,2001/2002,163.9
Other acute respiratory infection,Females,Sydney,2002/2003,171.1
Other acute respiratory infection,Females,Sydney,2003/2004,176.7
Other acute respiratory infection,Females,Sydney,2004/2005,169.4
Other acute respiratory infection,Females,Sydney,2005/2006,152.8
Other acute respiratory infection,Females,Sydney,2006/2007,175.2
Other acute respiratory infection,Females,Sydney,2007/2008,189
Other acute respiratory infection,Females,Sydney,2008/2009,205.9
Other acute respiratory infection,Females,Sydney,2009/2010,196.5
Other acute respiratory infection,Females,Sydney,2010/2011,207.8
Other acute respiratory infection,Females,Sydney,2011/2012,232.3
Other acute respiratory infection,Females,Sydney,2012/2013,241.2
Other acute respiratory infection,Females,Sydney,2013/2014,242.2
Other acute respiratory infection,Females,Sydney,2014/2015,230.6
Other acute respiratory infection,Females,Sydney,2015/2016,232.3
Other acute respiratory infection,Females,Sydney,2016/2017,256.8
Other acute respiratory infection,Females,Sydney,2017/2018,251.9
Other acute respiratory infection,Females,Sydney,2018/2019,265.4
Other acute respiratory infection,Females,Sydney,2019/2020,199.9
Other acute respiratory infection,Females,Sydney,2020/2021,157.3
Other acute respiratory infection,Females,South Western Sydney,2001/2002,199.6
Other acute respiratory infection,Females,South Western Sydney,2002/2003,204.8
Other acute respiratory infection,Females,South Western Sydney,2003/2004,213.3
Other acute respiratory infection,Females,South Western Sydney,2004/2005,205.8
Other acute respiratory infection,Females,South Western Sydney,2005/2006,236.4
Other acute respiratory infection,Females,South Western Sydney,2006/2007,251.5
Other acute respiratory infection,Females,South Western Sydney,2007/2008,274.3
Other acute respiratory infection,Females,South Western Sydney,2008/2009,255.3
Other acute respiratory infection,Females,South Western Sydney,2009/2010,268.6
Other acute respiratory infection,Females,South Western Sydney,2010/2011,308.1
Other acute respiratory infection,Females,South Western Sydney,2011/2012,356.3
Other acute respiratory infection,Females,South Western Sydney,2012/2013,329.9
Other acute respiratory infection,Females,South Western Sydney,2013/2014,353.5
Other acute respiratory infection,Females,South Western Sydney,2014/2015,360.9
Other acute respiratory infection,Females,South Western Sydney,2015/2016,351.4
Other acute respiratory infection,Females,South Western Sydney,2016/2017,387.5
